# time (s), error time (250 s bins), rate, error rate
# converion to flux 1E-12 erg/s/cm2
1495.90295 125 1.1056633 7.2586149E-2 0.998641968
1745.90295 125 1.43059027 8.31035525E-2 0.998641968
1995.90295 125 1.85947645 9.36240554E-2 1.00448203
2245.90283 125 2.21452761 0.102881208 0.998641968
2495.90283 125 2.25744724 0.103360817 0.998641968
2745.90283 125 2.24593616 0.102237433 0.998641968
2995.90283 125 1.95122445 9.55877602E-2 1.00448203
3245.90283 125 1.67487776 8.96905437E-2 0.998641968
3495.90283 125 1.29726911 7.92935565E-2 0.998641968
3745.90283 125 1.231915 8.15739557E-2 0.899361491
3995.90283 125 0.808793545 6.23734817E-2 1.00448203
4245.90283 125 0.68673861 5.75828999E-2 0.998641968
4495.90283 125 0.567932963 5.2083578E-2 0.998641968
4745.90283 125 0.554332733 5.37563674E-2 0.986961901
4995.90283 125 0.378515542 4.32235748E-2 0.998641968
5245.90283 125 0.364017785 4.24194299E-2 1.00448203
5495.90283 125 0.358630091 4.33169343E-2 0.998641968
5745.90283 125 0.352164596 4.18983772E-2 0.998641968
5995.90283 125 0.297163785 3.97800356E-2 0.998641968
6245.90283 125 0.271692067 3.71946022E-2 1.00448203
6495.90283 125 0.291465849 3.90358567E-2 0.998641968
6745.90283 125 0.185031727 3.20086367E-2 0.998641968
6995.90283 125 0.314177245 4.00774628E-2 0.998641968
7245.90283 125 0.241763368 3.6697194E-2 1.00448203
7495.90283 125 0.315802664 4.1042462E-2 0.998641968
7745.90283 125 0.316448838 3.9519351E-2 0.998641968
7995.90283 125 0.322589666 4.06540632E-2 0.998641968
8245.90332 125 0.297568917 3.92075181E-2 1.00448203
8495.90332 125 0.279973328 3.95236947E-2 0.998641968
8745.90332 125 0.337993473 4.11375649E-2 0.998641968
8995.90332 125 0.264560938 3.9146971E-2 0.998641968
9245.90332 125 0.368008584 4.26103733E-2 0.998641968
9495.90332 125 0.355861425 4.20263074E-2 1.00448203
9745.90332 125 0.3146092 4.09237258E-2 0.998641968
9995.90332 125 0.303943574 4.01530974E-2 0.998641968
10245.9033 125 0.345409304 4.05079648E-2 0.998641968
10495.9033 125 0.311442077 4.18225452E-2 1.00448203
10745.9033 125 0.382158548 4.3269638E-2 0.998641968
10995.9033 125 0.313687414 4.43322919E-2 0.998641968
11245.9033 125 0.39600718 4.57199886E-2 0.998641968
11495.9033 125 0.321456432 3.98747213E-2 1.00448203
11745.9033 125 0.264136732 3.9619755E-2 0.998641968
11995.9033 125 0.36414215 4.26959619E-2 0.998641968
12245.9033 125 0.314407468 4.36306186E-2 0.998641968
12495.9033 125 0.351671755 4.46022637E-2 0.998641968
12745.9033 125 0.33013466 4.14668694E-2 1.00448203
12995.9033 125 0.312945038 4.22294661E-2 0.998641968
13245.9033 125 0.297851324 4.44188081E-2 0.998641968
13495.9033 125 0.402017653 5.86680546E-2 0.998641968
13745.9033 125 0.429916501 5.44633307E-2 1.00448203
13995.9033 125 0.467922449 7.51714706E-2 0.998641968
14245.9033 125 0.496845186 7.8616865E-2 0.998641968
14495.9033 125 0.357672215 7.04016089E-2 0.998641968
14745.9033 125 0.448112965 8.43607113E-2 1.00448203
14995.9033 125 0.309965521 9.23368111E-2 0.998641968
15245.9033 125 0.393526077 9.9605009E-2 0.776720941
15495.9033 125 0.398037314 8.76119137E-2 0.998641968
15745.9033 125 0.267761737 9.94179398E-2 0.776720941
15995.9033 125 0.43482101 7.35920146E-2 0.998641968
16245.9033 125 0.345263541 6.6327773E-2 0.998641968
16495.9023 125 0.298688084 6.53941631E-2 0.998641968
16745.9023 125 0.246187821 6.07736409E-2 0.998641968
16995.9023 125 0.396596551 5.88806719E-2 1.00448203
17245.9023 125 0.322083801 7.35604689E-2 0.998641968
17495.9023 125 0.320972651 7.67629743E-2 0.998641968
17745.9023 125 0.576203406 9.05379578E-2 0.998641968
17995.9023 125 0.310340255 7.93551207E-2 1.00448203
18245.9023 125 0.394296169 7.97481909E-2 0.998641968
18495.9023 125 0.425565541 8.93082321E-2 0.998641968
18745.9023 125 0.205625892 0.102541231 0.770880938
18995.9023 125 0.435140997 8.89299214E-2 1.00448203
19245.9023 125 0.443650126 7.62860775E-2 0.998641968
19495.9023 125 0.281624973 7.70498663E-2 0.998641968
19745.9023 125 0.319744378 8.13362598E-2 0.998641968
19995.9023 125 0.440187961 8.8989906E-2 0.998641968
20245.9023 125 0.217940614 8.32634568E-2 1.00448203
20495.9023 125 0.285211474 0.153017521 0.782560945
20745.9023 125 0.267234802 7.90510923E-2 0.998641968
20995.9023 125 0.368429631 7.38849714E-2 0.998641968
21245.9023 125 0.353070825 6.40961006E-2 1.00448203
