Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2010.35,2.77E+43,2.16E+42,2010.35,1.88E+42,0,2.58E+43,1.37E+01,55289.3,55289.3,0,0,,,,,,,,,,,,,,
2010.36,4.05E+43,2.69E+42,2010.35,1.88E+42,0.01,3.86E+43,2.05E+01,55293,55289.3,3.7,0.0101369863013699,,,,,,,,,,,,,,
2010.37,2.26E+43,2.11E+42,2010.35,1.88E+42,0.02,2.07E+43,1.10E+01,55297,55289.3,7.7,0.0210958904109589,,,,,,,,,,,,,,
2010.38,8.13E+42,1.22E+42,2010.35,1.88E+42,0.03,6.24E+42,3.31E+00,55301.2,55289.3,11.9,0.0326027397260274,,,,,,,,,,,,,,
2010.41,3.09E+43,2.51E+42,2010.35,1.88E+42,0.06,2.90E+43,1.54E+01,55313.2,55289.3,23.9,0.0654794520547945,,,,,,,,,,,,,,
2010.49,1.99E+43,1.74E+42,2010.35,1.88E+42,0.14,1.80E+43,9.57E+00,55341.9,55289.3,52.6,0.144109589041096,,,,,,,,,,,,,,
2010.5,1.79E+43,1.77E+42,2010.35,1.88E+42,0.15,1.61E+43,8.52E+00,55345.2,55289.3,55.9,0.153150684931507,,,,,,,,,,,,,,
2010.51,5.69E+42,9.76E+41,2010.35,1.88E+42,0.16,3.80E+42,2.02E+00,55349.2,55289.3,59.9,0.164109589041096,,,,,,,,,,,,,,
2010.52,2.10E+43,2.01E+42,2010.35,1.88E+42,0.17,1.91E+43,1.02E+01,55353.1,55289.3,63.8,0.174794520547945,,,,,,,,,,,,,,
2010.53,1.14E+43,1.18E+42,2010.35,1.88E+42,0.18,9.55E+42,5.07E+00,55357,55289.3,67.7,0.185479452054795,,,,,,,,,,,,,,
2010.55,1.82E+43,1.70E+42,2010.35,1.88E+42,0.2,1.63E+43,8.67E+00,55361.4,55289.3,72.1,0.197534246575342,,,,,,,,,,,,,,
2010.56,4.24E+43,2.27E+42,2010.35,1.88E+42,0.21,4.05E+43,2.15E+01,55365.5,55289.3,76.2,0.208767123287671,,,,,,,,,,,,,,
2010.58,1.58E+43,1.86E+42,2010.35,1.88E+42,0.23,1.40E+43,7.41E+00,55373.9,55289.3,84.6,0.231780821917808,,,,,,,,,,,,,,
2010.61,1.99E+43,1.84E+42,2010.35,1.88E+42,0.26,1.80E+43,9.58E+00,55385,55289.3,95.7,0.262191780821918,,,,,,,,,,,,,,
2010.65,2.56E+43,2.06E+42,2010.35,1.88E+42,0.3,2.37E+43,1.26E+01,55397.7,55289.3,108.4,0.296986301369863,,,,,,,,,,,,,,
2010.69,4.33E+43,3.36E+42,2010.35,1.88E+42,0.34,4.14E+43,2.20E+01,55413.5,55289.3,124.2,0.34027397260274,,,,,,,,,,,,,,
