Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2007.19,2.42E+43,1.06E+46,2007.19,2.42E+43,0,0.00E+00,0.00E+00,54138,54138,0,0,,,,,,,,,,,,,,
2008.95,1.16E+44,7.02E+45,2007.19,2.42E+43,1.76,9.17E+43,3.79E+00,54779.8,54138,641.8,1.75835616438356,,,,,,,,,,,,,,
2009.46,1.36E+44,1.03E+46,2007.19,2.42E+43,2.27,1.12E+44,4.63E+00,54963.8,54138,825.8,2.26246575342466,,,,,,,,,,,,,,
2009.53,9.42E+43,1.06E+46,2007.19,2.42E+43,2.34,7.00E+43,2.89E+00,54991.1,54138,853.1,2.3372602739726,,,,,,,,,,,,,,
2009.67,5.65E+43,9.34E+45,2007.19,2.42E+43,2.48,3.23E+43,1.33E+00,55038.8,54138,900.8,2.46794520547945,,,,,,,,,,,,,,
2009.7,5.90E+43,8.80E+45,2007.19,2.42E+43,2.51,3.48E+43,1.44E+00,55052.9,54138,914.9,2.50657534246575,,,,,,,,,,,,,,
2009.74,6.95E+43,7.25E+45,2007.19,2.42E+43,2.55,4.53E+43,1.87E+00,55066.6,54138,928.6,2.5441095890411,,,,,,,,,,,,,,
2009.79,5.42E+43,8.91E+45,2007.19,2.42E+43,2.6,3.00E+43,1.24E+00,55085.2,54138,947.2,2.59506849315068,,,,,,,,,,,,,,
2009.81,9.70E+43,7.75E+45,2007.19,2.42E+43,2.62,7.28E+43,3.01E+00,55094.1,54138,956.1,2.61945205479452,,,,,,,,,,,,,,
2009.86,5.49E+43,8.49E+45,2007.19,2.42E+43,2.67,3.07E+43,1.27E+00,55108.9,54138,970.9,2.66,,,,,,,,,,,,,,
2009.86,1.18E+44,5.34E+45,2007.19,2.42E+43,2.67,9.33E+43,3.86E+00,55110.1,54138,972.1,2.66328767123288,,,,,,,,,,,,,,
2009.87,1.11E+44,9.78E+45,2007.19,2.42E+43,2.68,8.67E+43,3.58E+00,55112.2,54138,974.2,2.66904109589041,,,,,,,,,,,,,,
2009.87,1.03E+44,7.78E+45,2007.19,2.42E+43,2.68,7.92E+43,3.27E+00,55114,54138,976,2.67397260273973,,,,,,,,,,,,,,
2009.89,5.95E+43,7.71E+45,2007.19,2.42E+43,2.7,3.53E+43,1.46E+00,55122.3,54138,984.3,2.69671232876712,,,,,,,,,,,,,,
2009.93,5.53E+43,7.31E+45,2007.19,2.42E+43,2.74,3.11E+43,1.29E+00,55136.4,54138,998.4,2.73534246575342,,,,,,,,,,,,,,
2009.97,5.75E+43,8.11E+45,2007.19,2.42E+43,2.78,3.33E+43,1.38E+00,55150.4,54138,1012.4,2.77369863013699,,,,,,,,,,,,,,
2010.01,5.56E+43,7.27E+45,2007.19,2.42E+43,2.82,3.14E+43,1.30E+00,55164.1,54138,1026.1,2.81123287671233,,,,,,,,,,,,,,
2010.02,2.06E+44,1.82E+43,2007.19,2.42E+43,2.83,1.81E+44,7.50E+00,55166.4,54138,1028.4,2.81753424657534,,,,,,,,,,,,,,
2010.27,3.60E+44,8.24E+45,2007.19,2.42E+43,3.08,3.35E+44,1.39E+01,55261.3,54138,1123.3,3.07753424657534,,,,,,,,,,,,,,
2010.27,3.05E+44,5.03E+45,2007.19,2.42E+43,3.08,2.80E+44,1.16E+01,55261.5,54138,1123.5,3.07808219178082,,,,,,,,,,,,,,
2010.28,1.87E+44,6.74E+45,2007.19,2.42E+43,3.09,1.63E+44,6.75E+00,55263,54138,1125,3.08219178082192,,,,,,,,,,,,,,
2010.28,1.65E+44,6.58E+45,2007.19,2.42E+43,3.09,1.41E+44,5.81E+00,55264,54138,1126,3.08493150684932,,,,,,,,,,,,,,
2010.36,1.13E+44,7.15E+45,2007.19,2.42E+43,3.17,8.91E+43,3.68E+00,55295,54138,1157,3.16986301369863,,,,,,,,,,,,,,
2010.72,5.28E+43,6.10E+45,2007.19,2.42E+43,3.53,2.86E+43,1.18E+00,55426,54138,1288,3.52876712328767,,,,,,,,,,,,,,
