Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2009.56,1.56E+43,5.90E+41,2009.56,1.19E+42,0,1.44E+43,1.21E+01,55000,55000,0,0,,,,,,,,,,,,,,
2009.61,7.86E+42,3.40E+41,2009.56,1.19E+42,0.05,6.67E+42,5.61E+00,55019,55000,19,0.0520547945205479,,,,,,,,,,,,,,
2011.51,4.59E+42,6.48E+41,2009.56,1.19E+42,1.95,3.40E+42,2.86E+00,55711.5,55000,711.5,1.94931506849315,,,,,,,,,,,,,,
2011.51,6.54E+42,7.96E+41,2009.56,1.19E+42,1.95,5.35E+42,4.50E+00,55712,55000,712,1.95068493150685,,,,,,,,,,,,,,
2011.51,5.59E+42,7.33E+41,2009.56,1.19E+42,1.95,4.40E+42,3.70E+00,55712.3,55000,712.3,1.95150684931507,,,,,,,,,,,,,,
2011.51,7.82E+42,8.68E+41,2009.56,1.19E+42,1.95,6.63E+42,5.58E+00,55712.8,55000,712.8,1.95287671232877,,,,,,,,,,,,,,
2011.51,8.12E+42,8.84E+41,2009.56,1.19E+42,1.95,6.93E+42,5.83E+00,55713.1,55000,713.1,1.95369863013699,,,,,,,,,,,,,,
2011.51,3.06E+42,5.19E+41,2009.56,1.19E+42,1.95,1.87E+42,1.57E+00,55713.6,55000,713.6,1.95506849315068,,,,,,,,,,,,,,
2011.51,8.16E+42,8.96E+41,2009.56,1.19E+42,1.95,6.97E+42,5.87E+00,55713.9,55000,713.9,1.9558904109589,,,,,,,,,,,,,,
2011.53,6.30E+42,8.20E+41,2009.56,1.19E+42,1.97,5.11E+42,4.30E+00,55720.3,55000,720.3,1.97342465753425,,,,,,,,,,,,,,
2011.53,1.03E+43,1.04E+42,2009.56,1.19E+42,1.97,9.12E+42,7.67E+00,55721.8,55000,721.8,1.97753424657534,,,,,,,,,,,,,,
2011.53,5.18E+42,7.10E+41,2009.56,1.19E+42,1.97,3.99E+42,3.36E+00,55722.4,55000,722.4,1.97917808219178,,,,,,,,,,,,,,
2011.54,6.21E+42,7.84E+41,2009.56,1.19E+42,1.98,5.02E+42,4.22E+00,55722.9,55000,722.9,1.98054794520548,,,,,,,,,,,,,,
2011.54,6.94E+42,8.17E+41,2009.56,1.19E+42,1.98,5.75E+42,4.84E+00,55723.4,55000,723.4,1.98191780821918,,,,,,,,,,,,,,
2011.55,9.22E+42,9.94E+41,2009.56,1.19E+42,1.99,8.03E+42,6.76E+00,55726.6,55000,726.6,1.99068493150685,,,,,,,,,,,,,,
2011.55,3.66E+42,6.53E+41,2009.56,1.19E+42,1.99,2.47E+42,2.08E+00,55728.2,55000,728.2,1.99506849315068,,,,,,,,,,,,,,
2011.55,3.93E+42,6.76E+41,2009.56,1.19E+42,1.99,2.74E+42,2.30E+00,55729.3,55000,729.3,1.99808219178082,,,,,,,,,,,,,,
2011.59,1.53E+42,3.82E+41,2009.56,1.19E+42,2.03,3.39E+41,2.85E-01,55741.2,55000,741.2,2.03068493150685,,,,,,,,,,,,,,
2011.59,9.79E+41,2.91E+41,2009.56,1.19E+42,2.03,-2.10E+41,-1.77E-01,55742.2,55000,742.2,2.03342465753425,,,,,,,,,,,,,,
2011.59,1.31E+42,3.45E+41,2009.56,1.19E+42,2.03,1.25E+41,1.05E-01,55743.4,55000,743.4,2.03671232876712,,,,,,,,,,,,,,
2011.61,4.78E+42,8.07E+41,2009.56,1.19E+42,2.05,3.59E+42,3.02E+00,55750.6,55000,750.6,2.05643835616438,,,,,,,,,,,,,,
2011.64,1.19E+42,2.83E+42,2009.56,1.19E+42,2.08,0.00E+00,0.00E+00,55758.9,55000,758.9,2.07917808219178,,,,,,,,,,,,,,
2011.64,3.16E+42,5.80E+41,2009.56,1.19E+42,2.08,1.97E+42,1.66E+00,55759.6,55000,759.6,2.08109589041096,,,,,,,,,,,,,,
2011.64,2.51E+42,6.04E+41,2009.56,1.19E+42,2.08,1.32E+42,1.11E+00,55760.4,55000,760.4,2.08328767123288,,,,,,,,,,,,,,
2011.64,5.03E+42,1.17E+42,2009.56,1.19E+42,2.08,3.84E+42,3.23E+00,55761.4,55000,761.4,2.08602739726027,,,,,,,,,,,,,,
2011.65,8.36E+42,2.15E+42,2009.56,1.19E+42,2.09,7.17E+42,6.03E+00,55763.7,55000,763.7,2.09232876712329,,,,,,,,,,,,,,
2011.65,5.00E+42,7.88E+41,2009.56,1.19E+42,2.09,3.81E+42,3.21E+00,55764.3,55000,764.3,2.09397260273973,,,,,,,,,,,,,,
2012.72,0,0,2009.56,1.19E+42,3.16,-1.19E+42,-1.00E+00,56156.8,55000,1156.8,3.16931506849315,,,,,,,,,,,,,,
2012.74,1.21E+43,1.41E+42,2009.56,1.19E+42,3.18,1.09E+43,9.20E+00,56162.2,55000,1162.2,3.1841095890411,,,,,,,,,,,,,,
