Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2007.89,5.34E+43,9.99E+41,2007.89,1.55E+42,0,5.19E+43,3.35E+01,54391.1,54391.1,0,0,,,,,,,,,,,,,,
2007.9,6.21E+43,6.92E+41,2007.89,1.55E+42,0.01,6.05E+43,3.91E+01,54392.2,54391.1,1.1,0.00301369863013699,,,,,,,,,,,,,,
2007.9,3.51E+43,1.44E+43,2007.89,1.55E+42,0.01,3.35E+43,2.17E+01,54394,54391.1,2.9,0.00794520547945205,,,,,,,,,,,,,,
2007.9,6.62E+43,1.52E+42,2007.89,1.55E+42,0.01,6.46E+43,4.18E+01,54394,54391.1,2.9,0.00794520547945205,,,,,,,,,,,,,,
2008.03,5.08E+43,9.80E+41,2007.89,1.55E+42,0.14,4.93E+43,3.18E+01,54439.1,54391.1,48,0.131506849315068,,,,,,,,,,,,,,
2008.05,4.18E+43,1.43E+42,2007.89,1.55E+42,0.16,4.03E+43,2.60E+01,54446.5,54391.1,55.4,0.151780821917808,,,,,,,,,,,,,,
2008.59,2.54E+43,1.01E+42,2007.89,1.55E+42,0.7,2.38E+43,1.54E+01,54646.6,54391.1,255.5,0.7,,,,,,,,,,,,,,
2008.63,6.91E+43,1.84E+42,2007.89,1.55E+42,0.74,6.75E+43,4.36E+01,54660.8,54391.1,269.7,0.738904109589041,,,,,,,,,,,,,,
2008.68,6.59E+43,1.75E+42,2007.89,1.55E+42,0.79,6.44E+43,4.16E+01,54681.5,54391.1,290.4,0.795616438356164,,,,,,,,,,,,,,
2008.7,6.79E+43,1.83E+42,2007.89,1.55E+42,0.81,6.64E+43,4.29E+01,54688.5,54391.1,297.4,0.814794520547945,,,,,,,,,,,,,,
2008.86,6.00E+43,2.04E+42,2007.89,1.55E+42,0.97,5.84E+43,3.77E+01,54744.3,54391.1,353.2,0.967671232876712,,,,,,,,,,,,,,
2008.88,3.25E+43,1.12E+42,2007.89,1.55E+42,0.99,3.09E+43,2.00E+01,54751.2,54391.1,360.1,0.986575342465753,,,,,,,,,,,,,,
2008.9,4.43E+43,1.32E+42,2007.89,1.55E+42,1.01,4.28E+43,2.76E+01,54758.7,54391.1,367.6,1.00712328767123,,,,,,,,,,,,,,
2008.92,3.41E+43,1.34E+42,2007.89,1.55E+42,1.03,3.25E+43,2.10E+01,54765.7,54391.1,374.6,1.02630136986301,,,,,,,,,,,,,,
2008.94,6.12E+43,1.76E+42,2007.89,1.55E+42,1.05,5.96E+43,3.85E+01,54775.7,54391.1,384.6,1.05369863013699,,,,,,,,,,,,,,
2008.97,6.49E+43,1.59E+42,2007.89,1.55E+42,1.08,6.34E+43,4.09E+01,54786.1,54391.1,395,1.08219178082192,,,,,,,,,,,,,,
2009.08,5.36E+43,1.62E+42,2007.89,1.55E+42,1.19,5.21E+43,3.36E+01,54824.1,54391.1,433,1.18630136986301,,,,,,,,,,,,,,
2009.14,7.00E+43,1.59E+42,2007.89,1.55E+42,1.25,6.85E+43,4.42E+01,54849.8,54391.1,458.7,1.25671232876712,,,,,,,,,,,,,,
2009.16,2.22E+43,1.11E+42,2007.89,1.55E+42,1.27,2.06E+43,1.33E+01,54856.5,54391.1,465.4,1.27506849315068,,,,,,,,,,,,,,
2009.17,5.47E+43,2.15E+42,2007.89,1.55E+42,1.28,5.32E+43,3.43E+01,54863.9,54391.1,472.8,1.29534246575342,,,,,,,,,,,,,,
2009.49,2.00E+43,1.15E+42,2007.89,1.55E+42,1.6,1.85E+43,1.19E+01,54974.3,54391.1,583.2,1.59780821917808,,,,,,,,,,,,,,
2009.51,9.52E+42,9.47E+41,2007.89,1.55E+42,1.62,7.97E+42,5.15E+00,54981.8,54391.1,590.7,1.61835616438356,,,,,,,,,,,,,,
2009.51,8.21E+42,9.16E+41,2007.89,1.55E+42,1.62,6.66E+42,4.30E+00,54985.1,54391.1,594,1.62739726027397,,,,,,,,,,,,,,
2009.54,9.93E+42,9.85E+41,2007.89,1.55E+42,1.65,8.39E+42,5.42E+00,54994.2,54391.1,603.1,1.65232876712329,,,,,,,,,,,,,,
2009.56,1.93E+43,9.98E+41,2007.89,1.55E+42,1.67,1.77E+43,1.15E+01,55001,54391.1,609.9,1.67095890410959,,,,,,,,,,,,,,
2009.58,2.29E+43,1.51E+42,2007.89,1.55E+42,1.69,2.13E+43,1.38E+01,55009.2,54391.1,618.1,1.69342465753425,,,,,,,,,,,,,,
2009.61,3.84E+43,1.83E+42,2007.89,1.55E+42,1.72,3.69E+43,2.38E+01,55017.9,54391.1,626.8,1.7172602739726,,,,,,,,,,,,,,
2009.87,5.59E+42,5.04E+41,2007.89,1.55E+42,1.98,4.05E+42,2.61E+00,55113.8,54391.1,722.7,1.98,,,,,,,,,,,,,,
2009.93,6.72E+42,5.97E+41,2007.89,1.55E+42,2.04,5.17E+42,3.34E+00,55137.1,54391.1,746,2.04383561643836,,,,,,,,,,,,,,
2009.96,4.44E+42,4.49E+41,2007.89,1.55E+42,2.07,2.89E+42,1.87E+00,55145,54391.1,753.9,2.06547945205479,,,,,,,,,,,,,,
2010.07,6.64E+42,5.38E+41,2007.89,1.55E+42,2.18,5.09E+42,3.29E+00,55185,54391.1,793.9,2.17506849315068,,,,,,,,,,,,,,
2010.1,1.32E+43,8.02E+41,2007.89,1.55E+42,2.21,1.16E+43,7.52E+00,55201.9,54391.1,810.8,2.2213698630137,,,,,,,,,,,,,,
2010.48,6.67E+42,7.46E+41,2007.89,1.55E+42,2.59,5.12E+42,3.31E+00,55337.1,54391.1,946,2.59178082191781,,,,,,,,,,,,,,
2010.7,1.07E+43,8.95E+41,2007.89,1.55E+42,2.81,9.19E+42,5.94E+00,55418.5,54391.1,1027.4,2.81479452054795,,,,,,,,,,,,,,
2010.8,1.36E+43,1.09E+42,2007.89,1.55E+42,2.91,1.20E+43,7.75E+00,55453.7,54391.1,1062.6,2.91123287671233,,,,,,,,,,,,,,
2010.86,2.06E+43,1.25E+42,2007.89,1.55E+42,2.97,1.90E+43,1.23E+01,55473.4,54391.1,1082.3,2.96520547945205,,,,,,,,,,,,,,
2010.93,4.99E+43,1.88E+42,2007.89,1.55E+42,3.04,4.83E+43,3.12E+01,55501.9,54391.1,1110.8,3.04328767123288,,,,,,,,,,,,,,
2011.01,7.34E+42,7.18E+41,2007.89,1.55E+42,3.12,5.80E+42,3.74E+00,55529.1,54391.1,1138,3.11780821917808,,,,,,,,,,,,,,
2011.48,4.56E+42,6.31E+41,2007.89,1.55E+42,3.59,3.01E+42,1.95E+00,55701.8,54391.1,1310.7,3.59095890410959,,,,,,,,,,,,,,
2011.55,1.16E+43,1.06E+42,2007.89,1.55E+42,3.66,1.00E+43,6.47E+00,55729.1,54391.1,1338,3.66575342465753,,,,,,,,,,,,,,
2011.71,3.52E+42,5.55E+41,2007.89,1.55E+42,3.82,1.97E+42,1.28E+00,55785.7,54391.1,1394.6,3.82082191780822,,,,,,,,,,,,,,
2011.72,4.19E+42,4.52E+41,2007.89,1.55E+42,3.83,2.65E+42,1.71E+00,55787.9,54391.1,1396.8,3.82684931506849,,,,,,,,,,,,,,
2011.73,5.25E+42,7.67E+41,2007.89,1.55E+42,3.84,3.70E+42,2.39E+00,55793.9,54391.1,1402.8,3.84328767123288,,,,,,,,,,,,,,
2011.75,1.55E+42,3.90E+41,2007.89,1.55E+42,3.86,0.00E+00,0.00E+00,55801.6,54391.1,1410.5,3.86438356164384,,,,,,,,,,,,,,
2011.76,2.18E+42,4.43E+41,2007.89,1.55E+42,3.87,6.32E+41,4.08E-01,55805.1,54391.1,1414,3.87397260273973,,,,,,,,,,,,,,
2011.77,3.96E+42,6.07E+41,2007.89,1.55E+42,3.88,2.41E+42,1.56E+00,55809.7,54391.1,1418.6,3.88657534246575,,,,,,,,,,,,,,
2011.78,4.31E+42,6.30E+41,2007.89,1.55E+42,3.89,2.76E+42,1.78E+00,55813.2,54391.1,1422.1,3.89616438356164,,,,,,,,,,,,,,
2011.81,4.53E+42,7.71E+41,2007.89,1.55E+42,3.92,2.98E+42,1.93E+00,55821.7,54391.1,1430.6,3.91945205479452,,,,,,,,,,,,,,
2011.82,8.33E+40,8.33E+40,2007.89,1.55E+42,3.93,-1.46E+42,-9.46E-01,55826,54391.1,1434.9,3.93123287671233,,,,,,,,,,,,,,
2011.82,5.20E+42,6.61E+41,2007.89,1.55E+42,3.93,3.65E+42,2.36E+00,55826,54391.1,1434.9,3.93123287671233,,,,,,,,,,,,,,
2011.83,1.07E+43,1.05E+42,2007.89,1.55E+42,3.94,9.19E+42,5.93E+00,55829,54391.1,1437.9,3.93945205479452,,,,,,,,,,,,,,
2011.84,4.53E+42,6.11E+41,2007.89,1.55E+42,3.95,2.98E+42,1.93E+00,55834.3,54391.1,1443.2,3.95397260273973,,,,,,,,,,,,,,
2011.85,3.70E+42,5.42E+41,2007.89,1.55E+42,3.96,2.15E+42,1.39E+00,55837,54391.1,1445.9,3.9613698630137,,,,,,,,,,,,,,
2011.86,2.57E+42,5.30E+41,2007.89,1.55E+42,3.97,1.02E+42,6.58E-01,55841.3,54391.1,1450.2,3.97315068493151,,,,,,,,,,,,,,
2011.9,4.00E+42,6.67E+41,2007.89,1.55E+42,4.01,2.45E+42,1.58E+00,55853.4,54391.1,1462.3,4.00630136986301,,,,,,,,,,,,,,
2011.92,7.08E+42,7.85E+41,2007.89,1.55E+42,4.03,5.53E+42,3.57E+00,55861.5,54391.1,1470.4,4.02849315068493,,,,,,,,,,,,,,
2011.94,2.16E+43,1.42E+42,2007.89,1.55E+42,4.05,2.01E+43,1.30E+01,55869.9,54391.1,1478.8,4.05150684931507,,,,,,,,,,,,,,
2011.96,7.77E+42,8.69E+41,2007.89,1.55E+42,4.07,6.22E+42,4.02E+00,55877.7,54391.1,1486.6,4.07287671232877,,,,,,,,,,,,,,
