Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2006.1,3.52E+39,2.62E+38,2008.37,3.62E+38,-2.27,3.16E+39,8.71E+00,53735.2,54568.8,-833.6,-2.28383561643836,,,,,,,,,,,,,,
2006.27,5.33E+39,4.46E+38,2008.37,3.62E+38,-2.1,4.96E+39,1.37E+01,53800.7,54568.8,-768.1,-2.10438356164384,,,,,,,,,,,,,,
2006.27,1.07E+40,3.84E+38,2008.37,3.62E+38,-2.1,1.04E+40,2.87E+01,53801,54568.8,-767.8,-2.10356164383562,,,,,,,,,,,,,,
2006.28,1.04E+40,1.37E+39,2008.37,3.62E+38,-2.09,1.01E+40,2.78E+01,53804.7,54568.8,-764.1,-2.09342465753425,,,,,,,,,,,,,,
2006.3,5.45E+39,2.06E+39,2008.37,3.62E+38,-2.07,5.09E+39,1.40E+01,53811.7,54568.8,-757.1,-2.07424657534247,,,,,,,,,,,,,,
2008.37,5.77E+38,3.65E+38,2008.37,3.62E+38,0,2.14E+38,5.92E-01,54568.8,54568.8,0,0,,,,,,,,,,,,,,
2008.4,2.63E+38,1.83E+38,2008.37,3.62E+38,0.03,-9.98E+37,-2.75E-01,54578.8,54568.8,10,0.0273972602739726,,,,,,,,,,,,,,
2008.41,5.55E+39,8.66E+38,2008.37,3.62E+38,0.04,5.19E+39,1.43E+01,54582.1,54568.8,13.3,0.0364383561643836,,,,,,,,,,,,,,
2008.42,4.06E+39,7.12E+38,2008.37,3.62E+38,0.05,3.70E+39,1.02E+01,54584,54568.8,15.2,0.0416438356164384,,,,,,,,,,,,,,
2008.43,3.43E+39,7.04E+38,2008.37,3.62E+38,0.06,3.06E+39,8.46E+00,54588.7,54568.8,19.9,0.0545205479452055,,,,,,,,,,,,,,
2008.45,2.00E+39,5.06E+38,2008.37,3.62E+38,0.08,1.63E+39,4.51E+00,54595.4,54568.8,26.6,0.0728767123287671,,,,,,,,,,,,,,
2008.45,3.51E+39,5.82E+38,2008.37,3.62E+38,0.08,3.15E+39,8.68E+00,54597.9,54568.8,29.1,0.0797260273972603,,,,,,,,,,,,,,
2008.46,2.12E+40,1.51E+39,2008.37,3.62E+38,0.09,2.08E+40,5.75E+01,54600.1,54568.8,31.3,0.0857534246575342,,,,,,,,,,,,,,
2008.48,1.78E+39,3.55E+38,2008.37,3.62E+38,0.11,1.42E+39,3.91E+00,54606,54568.8,37.2,0.101917808219178,,,,,,,,,,,,,,
2008.48,4.33E+39,5.16E+38,2008.37,3.62E+38,0.11,3.97E+39,1.10E+01,54608.4,54568.8,39.6,0.108493150684932,,,,,,,,,,,,,,
2008.49,2.52E+40,1.75E+39,2008.37,3.62E+38,0.12,2.49E+40,6.86E+01,54609.7,54568.8,40.9,0.112054794520548,,,,,,,,,,,,,,
2008.49,1.70E+40,1.46E+39,2008.37,3.62E+38,0.12,1.66E+40,4.58E+01,54611.1,54568.8,42.3,0.115890410958904,,,,,,,,,,,,,,
2008.5,1.79E+40,1.56E+39,2008.37,3.62E+38,0.13,1.76E+40,4.85E+01,54614.7,54568.8,45.9,0.125753424657534,,,,,,,,,,,,,,
2008.51,4.50E+40,2.37E+39,2008.37,3.62E+38,0.14,4.47E+40,1.23E+02,54618.4,54568.8,49.6,0.135890410958904,,,,,,,,,,,,,,
2008.51,4.30E+40,2.26E+39,2008.37,3.62E+38,0.14,4.26E+40,1.18E+02,54620,54568.8,51.2,0.14027397260274,,,,,,,,,,,,,,
2008.52,5.90E+40,3.14E+39,2008.37,3.62E+38,0.15,5.87E+40,1.62E+02,54622.7,54568.8,53.9,0.147671232876712,,,,,,,,,,,,,,
2008.54,5.53E+40,2.73E+39,2008.37,3.62E+38,0.17,5.49E+40,1.52E+02,54628.1,54568.8,59.3,0.162465753424658,,,,,,,,,,,,,,
2008.55,5.44E+40,2.08E+39,2008.37,3.62E+38,0.18,5.41E+40,1.49E+02,54632.4,54568.8,63.6,0.174246575342466,,,,,,,,,,,,,,
2008.57,3.28E+40,2.19E+39,2008.37,3.62E+38,0.2,3.24E+40,8.94E+01,54638.6,54568.8,69.8,0.191232876712329,,,,,,,,,,,,,,
2008.58,2.05E+40,1.34E+39,2008.37,3.62E+38,0.21,2.01E+40,5.55E+01,54642.8,54568.8,74,0.202739726027397,,,,,,,,,,,,,,
2008.59,4.67E+40,2.52E+39,2008.37,3.62E+38,0.22,4.63E+40,1.28E+02,54646.6,54568.8,77.8,0.213150684931507,,,,,,,,,,,,,,
2008.59,4.45E+40,2.39E+39,2008.37,3.62E+38,0.22,4.41E+40,1.22E+02,54648.1,54568.8,79.3,0.217260273972603,,,,,,,,,,,,,,
2008.6,4.26E+40,2.18E+39,2008.37,3.62E+38,0.23,4.23E+40,1.17E+02,54650.1,54568.8,81.3,0.222739726027397,,,,,,,,,,,,,,
2008.6,1.02E+41,2.65E+39,2008.37,3.62E+38,0.23,1.01E+41,2.80E+02,54652.1,54568.8,83.3,0.228219178082192,,,,,,,,,,,,,,
2008.61,7.23E+40,4.65E+39,2008.37,3.62E+38,0.24,7.19E+40,1.98E+02,54654.3,54568.8,85.5,0.234246575342466,,,,,,,,,,,,,,
2008.62,2.63E+40,1.68E+39,2008.37,3.62E+38,0.25,2.60E+40,7.16E+01,54656,54568.8,87.2,0.238904109589041,,,,,,,,,,,,,,
2008.63,3.68E+40,6.86E+39,2008.37,3.62E+38,0.26,3.64E+40,1.00E+02,54660.9,54568.8,92.1,0.252328767123288,,,,,,,,,,,,,,
2008.63,2.54E+40,1.51E+39,2008.37,3.62E+38,0.26,2.51E+40,6.92E+01,54662.1,54568.8,93.3,0.255616438356164,,,,,,,,,,,,,,
2008.65,1.36E+40,1.47E+39,2008.37,3.62E+38,0.28,1.32E+40,3.64E+01,54668.1,54568.8,99.3,0.272054794520548,,,,,,,,,,,,,,
2008.66,2.30E+40,3.26E+39,2008.37,3.62E+38,0.29,2.26E+40,6.25E+01,54670.8,54568.8,102,0.279452054794521,,,,,,,,,,,,,,
2008.66,1.08E+40,1.37E+39,2008.37,3.62E+38,0.29,1.05E+40,2.89E+01,54672,54568.8,103.2,0.282739726027397,,,,,,,,,,,,,,
2008.67,6.11E+39,9.38E+38,2008.37,3.62E+38,0.3,5.75E+39,1.59E+01,54676.5,54568.8,107.7,0.295068493150685,,,,,,,,,,,,,,
