Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2005.36,4.17E+44,4.81E+43,2.01E+03,6.16E+43,0.00E+00,3.56E+44,5.77E+00,53468.4,53468.4,0,0,,,,,,,,,,,,,,
2005.36,4.97E+44,6.89E+43,2.01E+03,6.16E+43,0.00E+00,4.36E+44,7.07E+00,53468.5,53468.4,0.1,0.000273972602739726,,,,,,,,,,,,,,
2005.36,4.34E+44,6.07E+43,2.01E+03,6.16E+43,0.00E+00,3.73E+44,6.05E+00,53468.6,53468.4,0.2,0.000547945205479452,,,,,,,,,,,,,,
2005.36,5.14E+44,3.03E+43,2.01E+03,6.16E+43,0.00E+00,4.52E+44,7.34E+00,53469.8,53468.4,1.4,0.00383561643835616,,,,,,,,,,,,,,
2005.37,5.49E+44,2.93E+43,2.01E+03,6.16E+43,1.00E-02,4.87E+44,7.91E+00,53470.3,53468.4,1.9,0.00520547945205479,,,,,,,,,,,,,,
2005.37,7.85E+44,7.58E+43,2.01E+03,6.16E+43,1.00E-02,7.24E+44,1.17E+01,53472.7,53468.4,4.3,0.0117808219178082,,,,,,,,,,,,,,
2005.38,6.67E+44,7.39E+43,2.01E+03,6.16E+43,2.00E-02,6.06E+44,9.83E+00,53474.7,53468.4,6.3,0.0172602739726027,,,,,,,,,,,,,,
2005.38,5.59E+44,2.80E+44,2.01E+03,6.16E+43,2.00E-02,4.98E+44,8.08E+00,53474.7,53468.4,6.3,0.0172602739726027,,,,,,,,,,,,,,
2005.38,7.60E+44,7.72E+43,2.01E+03,6.16E+43,2.00E-02,6.98E+44,1.13E+01,53474.7,53468.4,6.3,0.0172602739726027,,,,,,,,,,,,,,
2005.38,8.94E+44,3.03E+44,2.01E+03,6.16E+43,2.00E-02,8.33E+44,1.35E+01,53474.8,53468.4,6.4,0.0175342465753425,,,,,,,,,,,,,,
2005.38,5.68E+44,6.72E+43,2.01E+03,6.16E+43,2.00E-02,5.06E+44,8.22E+00,53474.8,53468.4,6.4,0.0175342465753425,,,,,,,,,,,,,,
2005.41,7.34E+44,4.11E+43,2.01E+03,6.16E+43,5.00E-02,6.72E+44,1.09E+01,53486.5,53468.4,18.1,0.0495890410958904,,,,,,,,,,,,,,
2005.41,6.81E+44,3.90E+43,2.01E+03,6.16E+43,5.00E-02,6.20E+44,1.01E+01,53486.5,53468.4,18.1,0.0495890410958904,,,,,,,,,,,,,,
2005.45,8.34E+44,4.31E+43,2.01E+03,6.16E+43,9.00E-02,7.72E+44,1.25E+01,53500.7,53468.4,32.3,0.0884931506849315,,,,,,,,,,,,,,
