time(s)	flux(cts/s)
35936.88850079477	2.704251
36336.900352567434	2.4520216
36736.91221167147	2.200269
37136.924078181386	2.175788
37536.93595211208	2.3116732
37936.94783349335	2.1535592
38336.95972235501	2.1657772
38736.97161875665	2.3510246
39136.98352266848	2.5751486
39536.9954341948	2.97895
39937.00735333562	3.0879924
40337.01928013563	3.1926951
40737.03121462464	3.0163772
41137.04315683246	3.309479
41537.055106818676	2.819998
41937.067064613104	2.8775554
42337.07903024554	2.9023054
42737.091003760695	2.6744156
43137.10298521817	2.6152143
43537.11497461796	2.54801
43937.126972049475	2.443793
44337.13897752762	2.2883687
44737.15099109709	2.2795432
45137.1630128175	2.300498
45537.17504273355	2.2729344
45937.18708087504	2.5025628
46337.199127316475	2.7788877
46737.21118208766	3.314268
47137.2232452482	3.182446
47537.235316842794	3.3394227
47937.24739693105	3.1265266
48337.259485557675	3.1487024
48737.27158279717	3.072994
49137.283688664436	3.0338614
49537.295803278685	2.8783414
49937.307926654816	2.8643024
50337.32005883753	2.5695689
50737.332199946046	2.6184835
51137.344349995255	2.6263027
51537.35650904477	2.5122426
51937.36867719889	2.3953516
52337.38085448742	2.4869578
52737.39304099977	2.3516998
53137.405236795545	2.4266398
53537.41744196415	2.268298
53937.42965655029	2.2722046
54337.44188064337	2.3093889
54737.45411430299	1.9831417
55137.46635764837	1.9122936
55537.47861072421	1.7698971
55937.490873619914	1.7826757
56337.50314642489	1.8199322
56737.51542921364	1.7959768
57137.52772207558	1.7085947
57537.54002511501	1.5982462
57937.55233840644	1.8485936
58337.56466203928	1.8335795
58737.57699613273	1.6904453
59137.589340776205	1.7724992
59537.60169605911	1.8516785
59937.61406210065	2.149012
60337.626438990235	2.3072338
60737.63882684708	2.2476096
61137.65122579038	2.0849564
61537.66363590956	2.052093
61937.676057353616	2.1103623
62337.688490241766	2.2496371
62737.700934648514	2.19335
63137.71339075267	2.1354203
63537.725858688354	2.2457952
63937.738338544965	2.23471
64337.75083050132	2.1593502
64737.76333467662	2.2053971
