time(s)	flux(cts/s)
2025.653918147087	1.0608029
3625.857068270445	1.0324962
5226.06008464098	0.96090186
6826.26296800375	0.9158564
8426.465718984604	0.87832
10026.66833820939	0.84456646
11626.870826095343	0.8757874
13227.0731831491	0.89120317
14827.27540960908	0.8280158
16427.47750580311	0.7855541
18027.67947179079	0.8082075
19627.881307691336	0.8086992
21228.08301347494	0.7780097
22828.284589022398	0.7812758
24428.48603412509	0.7471891
26028.687348544598	0.80540556
27628.888531833887	0.82875115
29229.089583545923	0.96114594
30829.290503114462	0.70632327
32429.491289824247	0.6755407
34029.691942960024	0.6998018
35629.89246159792	0.82728577
37230.09284481406	0.7101747
38830.29309141636	0.72452587
40430.493200302124	0.72002816
42030.69317007065	0.71150506
43630.89299932122	0.6922564
45231.09268641472	0.7076693
46831.29222968221	0.6911012
48431.49162724614	0.8248808
50031.69087713957	0.77385914
51631.889977157116	1.0647656
53232.0889249742	0.88671356
54832.287718087435	0.73870254
56432.4863537848	0.66951144
58032.684829205275	0.7391734
59632.88314118981	0.73875487
61233.08128646016	0.72686774
62833.27926132083	0.7097858
64433.47706204653	0.72046936
66033.67468443513	0.77670383
67633.87212404609	0.75183237
69234.06937605143	0.9228979
70834.26643538475	0.8976132
72434.46329641342	0.799339
74034.65995323658	0.9167583
75634.85639929771	0.71020466
77235.05262774229	0.63855076
78835.24863091111	0.93705297
80435.44440066814	1.2763073
82035.6399281323	1.2514927
