time(s)	flux(cts/s)
3155.223603799939	0.26006305
4755.270203799009	0.22893512
6355.3168037980795	0.23814306
7955.36340379715	0.32877308
9555.41000379622	0.32019484
11155.45660379529	0.3010166
12755.50320379436	0.31872538
14355.54980379343	0.36133307
15955.5964037925	0.3627319
17555.643003806472	0.38833463
19155.689603805542	0.38557005
20755.736203804612	0.31707522
22355.782803803682	0.3101677
23955.829403802752	0.2752146
25555.876003801823	0.24633692
27155.922603800893	0.24184898
28755.969203799963	0.21377592
30356.015803799033	0.20668639
