Name	instr	dist	MJD_ref
#from Pye et al 2015, distances in pc, 1 MOS ct/s ~ 3.2 PN ct/s (so instr = 3.2 is MOS, instr = 1. is PN)... assuming a temperature of 1.5 keV for the flux conversion
UY_Scl	1.	137.2	52228.02597
HD1165	3.2	33.2	52144.15221
HD14716	1.	62.	53269.12344
CC_Eri	3.2	11.6	52859.36212
CD-53_544	3.2	28.	53044.89146
SDSS_J033815.04+002926.0	3.2	709.9	52327.34675
V471_Tau	3.2	44.1	53218.28692
2MASS_J04072181-1210033_MOS	3.2	395.7	53403.73898
2MASS_J04072181-1210033_PN	1.	395.7	53405.73342
V410_Tau	3.2	98.2	51979.53316
T_Tau	1.	182.5	53597.57856
HD285845	3.2	90.	51796.77127
HD283810	1.	60.	53422.47697
HD268974	1.	917.4	52986.84599
AB_Dor_1	3.2	15.2	51929.64973
AB_Dor_2	3.2	15.2	52051.70225
AB_Dor_3	3.2	15.2	52728.84787
AB_Dor_4	3.2	15.2	52638.45137
AB_Dor_5	3.2	15.2	52611.20899
AB_Dor_6	3.2	15.2	52936.14162
SV_Cam_PN	1.	88.	51996.07414
SV_Cam_MOS	3.2	88.	52917.44894
pi.01_UMa	3.2	14.4	51851.91267
2MASS_J13141103-1620235	3.2	516.1	53741.40924
1RXS_J231628.7+790531	3.2	55.	53000.80883
