# ! Swift/XRT detailed lightcurve of trigger: 30917, name: GW Lib
# ! T0 for this burst is Swift MET=198171032.2006 s, = 2007 Apr 13 at 15:30:30.313 UT
#
# ! Data covers 0.3-10 keV
# ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
# ! BINMODE: 
#READ TERR 1 2
#READ SERR 3
#!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
#! WT data
24208.734	24105.647	-24105.647	4.996734e+00	6.361694e-02	-6.388889e-02	1.402717e-01	5.854830e-03	0.060489
#NO	NO	NO	NO	NO
#! PC data
30390.599	18205.838	-18205.838	3.433158e+00	1.200190e-01	-1.200190e-01	2.019708e-03	1.017514e-04	0.052540
614131.051	495.194	-495.194	2.554360e-01	1.886287e-02	-1.886287e-02	8.303365e-04	9.996077e-05	0.982275
649619.956	386.124	-386.124	2.237036e-01	2.486631e-02	-2.486631e-02	6.891571e-04	1.050955e-04	1.000000
689751.931	455.075	-455.075	2.058545e-01	1.718818e-02	-1.718818e-02	8.560196e-04	1.053687e-04	1.000000
718882.580	723.357	-723.357	1.973760e-01	1.503512e-02	-1.503512e-02	9.204875e-04	8.736881e-05	0.998265
805551.709	635.603	-635.603	2.546850e-01	1.814543e-02	-1.814543e-02	7.843852e-04	8.662086e-05	0.998024
851021.145	524.029	-524.029	2.409900e-01	2.085616e-02	-2.085616e-02	1.183367e-03	1.220550e-04	0.999994
898392.270	674.465	-674.465	2.422475e-01	1.665348e-02	-1.665348e-02	8.881599e-04	8.837521e-05	0.999998
944500.090	646.885	-646.885	2.594880e-01	1.734756e-02	-1.734756e-02	8.671203e-04	9.405240e-05	0.999997
993876.043	3290.605	-3290.605	2.867238e-01	1.678279e-02	-1.678279e-02	9.495641e-04	8.083226e-05	0.249160
1028555.469	3350.430	-3350.430	2.629705e-01	1.983505e-02	-1.983505e-02	8.710589e-04	8.844263e-05	0.190456
1080934.912	3229.890	-3229.890	2.442914e-01	1.618551e-02	-1.618551e-02	7.803446e-04	8.048640e-05	0.216970
1144593.676	3233.041	-3233.041	1.648720e-01	1.277546e-02	-1.277546e-02	9.041435e-04	9.583902e-05	0.209004
1227560.170	64685.080	-64685.080	1.743948e-01	6.316964e-03	-6.316964e-03	9.179914e-04	4.572841e-05	0.045467
1395052.916	64414.401	-64414.401	1.606485e-01	6.127273e-03	-6.127273e-03	9.321057e-04	4.738159e-05	0.043946
1525274.025	21012.317	-21012.317	1.883114e-01	9.300563e-03	-9.300563e-03	9.533509e-04	6.369844e-05	0.075235
1881064.431	802.336	-802.336	1.428481e-01	1.057539e-02	-1.057539e-02	1.102409e-03	9.668770e-05	1.000000
1927384.973	802.336	-802.336	1.293415e-01	1.007419e-02	-1.007419e-02	9.835627e-04	9.132150e-05	1.000000
2019912.410	794.814	-794.814	1.186052e-01	9.952259e-03	-9.952259e-03	9.344638e-04	8.909763e-05	1.000000
2060413.049	673.210	-673.210	7.882001e-02	8.644192e-03	-8.644192e-03	1.062980e-03	1.032457e-04	1.000000
2100910.081	794.814	-794.814	1.079981e-01	9.468167e-03	-9.468167e-03	9.088939e-04	8.786609e-05	1.000000
2141495.691	646.883	-646.883	2.659260e-02	5.266019e-03	-5.266019e-03	5.851239e-04	6.273187e-05	1.000000
2181973.111	624.322	-624.322	1.983198e-01	1.421801e-02	-1.421801e-02	9.753723e-04	1.028133e-04	0.997986
2222425.033	436.272	-436.272	2.120942e-01	1.918234e-02	-1.918234e-02	9.988214e-04	1.238885e-04	0.999995
2262895.045	752.191	-752.191	2.482586e-01	1.608142e-02	-1.608142e-02	8.875221e-04	8.875221e-05	0.999998
2280555.302	730.882	-730.882	2.170649e-01	1.384058e-02	-1.384058e-02	1.036691e-03	9.795812e-05	0.998280
2343855.297	791.057	-791.057	1.568343e-01	1.171880e-02	-1.171880e-02	9.258671e-04	9.078874e-05	0.984147
2390067.707	719.595	-719.595	1.537350e-01	1.179919e-02	-1.179919e-02	7.747030e-04	8.555163e-05	1.000000
2430599.856	685.747	-685.747	1.265794e-01	1.244529e-02	-1.244529e-02	9.303797e-04	9.545495e-05	1.000000
2476798.847	687.738	-687.738	1.088380e-01	1.017894e-02	-1.017894e-02	9.763497e-04	9.913329e-05	0.993459
2517296.813	689.511	-689.511	1.118799e-01	1.047463e-02	-1.047463e-02	1.096701e-03	1.045664e-04	0.963631
2557725.875	580.440	-580.440	9.023790e-02	1.011304e-02	-1.011304e-02	1.461728e-03	1.312671e-04	1.000000
2604027.866	659.420	-659.420	8.403788e-02	1.030144e-02	-1.030144e-02	9.305505e-04	9.863816e-05	1.000000
2650316.690	688.254	-688.254	1.245524e-01	1.093086e-02	-1.093086e-02	1.148948e-03	1.027650e-04	1.000000
2690697.853	628.079	-628.079	1.194303e-01	1.139499e-02	-1.139499e-02	8.539741e-04	9.669352e-05	1.000000
2737121.991	703.298	-703.298	1.183359e-01	1.049631e-02	-1.049631e-02	1.028294e-03	9.987676e-05	1.000000
2814977.164	3428.324	-3428.324	1.040152e-01	8.309081e-03	-8.309081e-03	1.104745e-03	8.788875e-05	0.283398
32590058.430	9646.841	-9646.841	3.922056e-02	3.287166e-03	-3.287166e-03	5.717911e-04	3.186467e-05	0.257050
33781282.890	9081.532	-9081.532	3.964458e-02	6.015398e-03	-6.015398e-03	4.831979e-04	4.957506e-05	0.089590
58880972.024	9413.682	-9413.682	3.775824e-02	3.461953e-03	-3.461953e-03	5.742735e-04	3.299115e-05	0.234784
59491545.825	6159.695	-6159.695	4.620756e-02	4.393788e-03	-4.393788e-03	5.446206e-04	3.776264e-05	0.254406
322186128.409	2736.635	-2736.635	2.876078e-02	4.312231e-03	-4.312231e-03	6.023758e-04	5.019798e-05	0.385261
327285836.138	269.535	-269.535	1.203643e-02	6.940805e-03	-5.264259e-03	1.993928e-03	1.790600e-04	1.000000
327577681.642	324.695	-324.695	2.751107e-02	8.309920e-03	-6.947506e-03	6.012526e-04	9.064225e-05	1.000000
#NO	NO	NO	NO	NO
#! PC upper limits
328680777.960	246.969	-246.969	4.6870e-02	0.0000e+00	0.0000e+00	7.1318e-03	4.4401e-04	1.0000
