HJD	ct_rate
6299.385	0.114
6299.447	0.127
6301.381	0.082
6303.115	0.089
6303.199	0.067
6305.329	0.071
6305.395	0.100
6307.199	0.067
6309.406	0.059
6309.472	0.042
6310.997	0.067
6311.391	0.063
6313.198	0.060
6313.411	0.059
6315.071	0.070
6315.133	0.081
6317.004	0.125
6317.071	0.082
6318.944	0.033
6319.007	0.043
6322.354	0.051
6324.555	0.063
6327.706	0.067
6330.836	0.053
6333.839	0.032
6337.197	0.020
6338.122	0.182
6338.385	0.123
6338.647	0.124
6339.385	0.124
6339.918	0.098
6340.450	0.084
6341.850	0.084
6341.919	0.059
6341.986	0.089
6342.045	0.056
6342.927	0.087
6342.983	0.075
6345.652	0.066
6348.749	0.047
6352.003	0.028
6354.805	0.052
6357.950	0.045
6364.289	0.036
6369.639	0.024
6372.710	0.038
6376.443	0.029
6378.519	0.049
6381.599	0.032
6384.658	0.024
6387.530	0.017
6391.320	0.035
6394.210	0.027
6397.075	0.025
6399.962	0.020
6407.992	0.039
6416.000	0.026
6418.949	0.033
6421.980	0.033
6424.929	0.029
6428.338	0.035
6430.733	0.032
6434.017	0.041
6436.953	0.017
6439.958	0.027
6442.913	0.027
6445.833	0.024
6449.463	0.031
6451.455	0.022
6457.962	0.022
6464.171	0.020
6467.190	0.028
6475.068	0.023
6835.086	0.011
7038.833	0.014
7496.135	0.014
7869.791	0.009
