Time(days) 0.3-10keVLum(erg)/s Err
3.06445 1.3080375e+43 7.7084883e+41
3.78760 6.9448332e+42 4.2217825e+41
5.05566 5.3403298e+42 4.0246874e+41
5.25732 5.8504569e+42 3.7750428e+41
6.12158 6.0404584e+42 4.0551243e+41
6.25928 4.9401180e+42 3.0303346e+41
6.64600 4.6148908e+42 3.1367299e+41
6.84619 5.1285254e+42 2.9418286e+41
8.23926 4.0981163e+42 3.2765736e+41
8.36768 3.7789306e+42 7.4306993e+41
9.10693 5.3146068e+42 3.4212390e+41
9.17334 5.0379453e+42 3.4161471e+41
10.1113 3.7362446e+42 3.1179946e+41
10.1729 3.7135917e+42 3.8337023e+41
11.1035 4.3207662e+42 2.9450085e+41
11.2383 3.8283204e+42 2.7431656e+41
12.0991 4.7838030e+42 2.8805634e+41
12.3633 5.0515048e+42 3.4261647e+41
12.7593 5.8758318e+42 3.7756407e+41
12.9585 5.5357807e+42 3.1135589e+41
14.0820 4.1615491e+42 4.1868442e+41
14.2866 2.8139644e+42 2.2483661e+41
15.1499 2.1663198e+42 1.9167606e+41
15.7134 2.9171119e+42 1.7607120e+41
16.3545 3.3232493e+42 2.9242454e+41
16.6382 2.4425092e+42 3.1724080e+41
16.9507 2.9436764e+42 2.1251316e+41
17.7749 3.5355756e+42 2.1133442e+41
18.3457 2.4572166e+42 2.3851639e+41
18.8369 2.2331587e+42 1.5163039e+41
19.7671 2.6938278e+42 1.4868444e+41
20.1973 3.5136406e+42 3.9473249e+41
20.8301 4.2887656e+42 1.8032987e+41
21.3350 4.6830757e+42 3.2878510e+41
21.7251 3.4438178e+42 2.7628467e+41
22.2969 1.9652145e+42 1.5093361e+41
22.7202 1.2985341e+42 1.7002927e+41
23.3628 1.2396346e+42 1.3716094e+41
23.7896 3.2028707e+42 2.6672130e+41
24.3672 4.4733451e+42 6.1172427e+41
24.7793 3.9620743e+42 3.0606333e+41
25.2778 1.9215553e+42 1.8107413e+41
25.3540 9.9276720e+41 3.0934997e+41
25.7207 9.2946666e+41 1.4994272e+41
26.3203 1.0888452e+42 2.2932160e+41
27.0117 9.8254025e+41 1.2408334e+41
27.9727 6.7791890e+41 9.1819856e+40
29.3794 2.2897941e+42 2.5321451e+41
30.2271 1.0718992e+42 1.7713101e+41
31.0908 5.8887710e+41 1.0163159e+41
33.4927 1.5435975e+42 1.6561301e+41
34.1567 1.1420268e+42 7.3806952e+40
34.8096 1.0454898e+42 1.3497898e+41
36.8027 1.4781340e+42 1.8202083e+41
38.4609 6.2442988e+41 1.2976975e+41
38.8232 4.6628805e+41 1.0467176e+41
39.9243 2.7596409e+41 7.0134802e+40
40.7319 2.7279343e+41 8.5869384e+40
41.7173 6.9580604e+41 1.0699821e+41
43.7764 7.9249506e+41 1.1459354e+41
45.4346 3.6557861e+41 8.4848049e+40
46.4980 3.3497081e+41 8.7193003e+40
46.9253 2.9361448e+41 7.1177892e+40
47.9619 2.1870908e+41 1.0974111e+41
49.9468 3.4162932e+41 6.1624967e+40
52.2749 1.2637411e+41 3.8701885e+40
54.4609 2.2057479e+41 1.3194386e+41
57.8843 4.9801744e+40 0.0000000
69.4805 2.9184137e+40 1.0958893e+40
82.4489 9.4336975e+39 1.4988516e+39 
217.559 6.4791877e+38 2.1597292e+38	 

