name	z	dl_UCLA(Mpc)	t90	lc_wget	TriggerTime(MET)
GRB190114C	0.425	2357.	361.5	http://www.swift.ac.uk/xrt_curves/00883832/flux.qdp	569192245.4
GRB190114A	3.3765	29887.8	66.6	http://www.swift.ac.uk/xrt_curves/00883600/flux.qdp	569128272.0
GRB190106A	1.859	14457.6	76.8	http://www.swift.ac.uk/xrt_curves/00882252/flux.qdp	568474506.8
GRB181110A	1.505	11134.9	138.4	http://www.swift.ac.uk/xrt_curves/00871316/flux.qdp	563532233.2
GRB181020A	2.938	25278.7	238.	http://www.swift.ac.uk/xrt_curves/00867987/flux.qdp	561754855.3
GRB181010A	1.39	10089.3	16.4	http://www.swift.ac.uk/xrt_curves/00866434/flux.qdp	560843773.4
GRB180914B	1.096	7509.6	146.8	http://www.swift.ac.uk/xrt_curves/00020839/flux.qdp	558642182.0
GRB180728A	0.117	548.4	8.68	http://www.swift.ac.uk/xrt_curves/00850471/flux.qdp	554491762.0
GRB180720B	0.654	3967.	51.1	http://www.swift.ac.uk/xrt_curves/00848890/flux.qdp	553789325.9
GRB180703A	0.6678	4069.7	20.9	http://www.swift.ac.uk/xrt_curves/00020797/flux.qdp	552344500.0
GRB180624A	2.855	24417.9	486.4	http://www.swift.ac.uk/xrt_curves/00844192/flux.qdp	551541001.5
GRB180620B	1.1175	7693.2	198.8	http://www.swift.ac.uk/xrt_curves/00843211/flux.qdp	551202658.3
GRB180510B	1.305	9328.9	134.3	http://www.swift.ac.uk/xrt_curves/00831816/flux.qdp	547676163.2
GRB180404A	1.000	6701.2	35.2	http://www.swift.ac.uk/xrt_curves/00821881/flux.qdp	544495556.4
GRB180329B	1.998	15799.1	210.	http://www.swift.ac.uk/xrt_curves/00819490/flux.qdp	544025324.7
GRB180325A	2.248	18256.2	94.1	http://www.swift.ac.uk/xrt_curves/00817564/flux.qdp	543635603.5
GRB180205A	1.409	10260.8	15.5	http://www.swift.ac.uk/xrt_curves/00808625/flux.qdp	539497549.8
GRB171222A	2.409	19865.5	174.8	http://www.swift.ac.uk/xrt_curves/00799669/flux.qdp	535652720.0
GRB171020A	1.87	14563.	41.9	http://www.swift.ac.uk/xrt_curves/00780845/flux.qdp	530233650.6
GRB171010A	0.3285	1740.4	70.3	http://www.swift.ac.uk/xrt_curves/00020778/flux.qdp	529354850.0
GRB170705A	2.010	15915.8	217.3	http://www.swift.ac.uk/xrt_curves/00760064/flux.qdp	520915566.4
GRB170607A	0.557	3262.1	23.0	http://www.swift.ac.uk/xrt_curves/00756284/flux.qdp	518570512.9
GRB170604A	1.329	9542.5	26.7	http://www.swift.ac.uk/xrt_curves/00755867/flux.qdp	518296149.6
GRB170531B	2.366	19433.8	164.13	http://www.swift.ac.uk/xrt_curves/00755354/flux.qdp	517960948.4
GRB170519A	0.818	5224.3	216.4	http://www.swift.ac.uk/xrt_curves/00753445/flux.qdp	516863421.9
GRB170214A	2.53	21087.6	123.	http://www.swift.ac.uk/xrt_curves/00020740/flux.qdp	508779266.0
GRB170202A	3.645	32755.8	46.2	http://www.swift.ac.uk/xrt_curves/00736407/flux.qdp	507752900.9
GRB170113A	1.968	15508.0	20.66	http://www.swift.ac.uk/xrt_curves/00732526/flux.qdp	505994663.9
GRB161219B	0.1475	705.3	6.94	http://www.swift.ac.uk/xrt_curves/00727541/flux.qdp	503866136.6
GRB161129A	0.645	3904.0	35.53	http://www.swift.ac.uk/xrt_curves/00724438/flux.qdp	502096317.1
GRB161117A	1.549	11539.7	125.7	http://www.swift.ac.uk/xrt_curves/00722604/flux.qdp	501039353.9
GRB161108A	1.159	8049.9	105.1	http://www.swift.ac.uk/xrt_curves/00721234/flux.qdp	500268770.3
GRB161023A	2.708	22903.3	44.	http://www.swift.ac.uk/xrt_curves/00020709/flux.qdp	498955120.0
GRB161017A	2.013	15945.0	216.3	http://www.swift.ac.uk/xrt_curves/00718023/flux.qdp	498419528.2
GRB161014A	2.823	24087.1	18.3	http://www.swift.ac.uk/xrt_curves/00717500/flux.qdp	498141099.7
