Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
68.3750689944788	4.32707401899853	-4.14957295757537	3.06179207317774e-10	4.31350229033749e-11	-4.40570169431876e-11
88.517	5.581	-5.432	1.171370398e-10	2.33789312e-11	-2.352611164e-11
134.254	36.328	-31.369	9.75349472e-11	2.150086256e-11	-2.150086256e-11
204.871	18.364	-34.290	1.389612678e-10	2.924491308e-11	-2.924491308e-11
236.766	16.557	-13.531	2.113121474e-10	4.76930624e-11	-4.76930624e-11
262.146	11.236	-8.823	3.16544158e-10	7.11584662e-11	-7.11584662e-11
288.332	12.630	-14.951	2.639404606e-10	5.53541874e-11	-5.53541874e-11
313.624	12.411	-12.662	4.64897606e-10	7.72584418e-11	-7.72584418e-11
334.106	6.973	-8.071	6.36660112e-10	1.16856914e-10	-1.16856914e-10
349.815	8.816	-8.735	6.10891344e-10	1.055897246e-10	-1.055897246e-10
368.941	9.748	-10.310	5.03724438e-10	8.9640423e-11	-8.9640423e-11
388.725	12.530	-10.035	2.978124026e-10	6.57343062e-11	-6.57343062e-11
412.894	10.927	-11.639	4.24780866e-10	7.7691239e-11	-7.7691239e-11
439.498	16.918	-15.677	1.944777458e-10	4.39522958e-11	-4.39522958e-11
483.363	40.751	-26.947	9.67982768e-11	2.161382804e-11	-2.161382804e-11
567.267	37.081	-43.153	7.76434102e-11	1.7665761e-11	-1.7665761e-11
620.946	21.008	-16.599	1.685188984e-10	3.78827142e-11	-3.78827142e-11
3902.599	59.437	-48.378	6.9803161e-12	1.567736882e-12	-1.567736882e-12
4039.043	88.476	-77.007	4.49171216e-12	1.01216195e-12	-1.01216195e-12
4196.683	53.694	-69.165	6.0536999e-12	1.361126486e-12	-1.361126486e-12
4317.316	45.889	-66.940	6.61014724e-12	1.487882826e-12	-1.487882826e-12
4421.281	42.218	-58.075	7.37139002e-12	1.664754864e-12	-1.664754864e-12
4518.889	80.004	-55.391	6.01621174e-12	1.292993158e-12	-1.292993158e-12
4864.995	1502.894	-266.102	3.85187504e-12	6.7932427e-13	-6.7932427e-13
9756.701	108.789	-149.465	2.313986736e-12	6.0428449e-13	-6.0428449e-13
9994.805	146.489	-129.316	2.150513442e-12	5.62205166e-13	-5.62205166e-13
10420.153	317.876	-278.858	1.31804082e-12	2.995494364e-13	-2.995494364e-13
19333.186	3320.547	-3449.870	8.43347662e-13	1.647626342e-13	-1.647626342e-13
27675.110	1160.127	-788.045	5.24531302e-13	1.051245628e-13	-1.051245628e-13
33745.589	1207.771	-1149.091	4.01335068e-13	8.46695678e-14	-8.46695678e-14
39279.337	370.931	-932.872	4.31177968e-13	1.17048797e-13	-1.17048797e-13
40558.259	3714.550	-907.991	4.88676068e-13	1.214790064e-13	-1.214790064e-13
77789.815	3005.108	-4884.149	2.878848872e-13	6.90961832e-14	-6.90961832e-14
97112.236	16564.216	-12710.173	1.165481644e-13	3.267782186e-14	-3.267782186e-14
190362.245	10551.115	-13857.728	6.77958544e-14	2.996889148e-14	-2.39467312e-14
