Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
64.3825816618567	0.615692323632203	-0.960590688010306	1.2894491629914e-09	1.92220510211667e-10	-1.92221603806074e-10
65.7293091630008	0.831024821000412	-0.731035177511885	1.33023846585855e-09	1.98367321376517e-10	-1.98387159245677e-10
67.1921242499977	0.905365719835743	-0.631790265996457	1.38243477017691e-09	2.06342818239607e-10	-2.06344114180257e-10
69.8322089754371	1.98994804990012	-1.73471900560368	1.14245702786029e-09	1.28218058515325e-10	-1.30333382697713e-10
81.065	1.115	-1.653	9.99222102e-10	1.898967834e-10	-1.952638602e-10
83.780	1.859	-1.600	7.99785372e-10	1.5099831e-10	-1.556417232e-10
88.048	1.425	-2.409	7.56235908e-10	1.305344244e-10	-1.367125896e-10
90.450	1.125	-0.977	1.310548998e-09	2.147937108e-10	-2.262511776e-10
93.394	1.003	-1.818	9.03782778e-10	1.533078402e-10	-1.604042286e-10
95.385	1.237	-0.987	1.128602484e-09	1.919261688e-10	-1.995060654e-10
97.996	1.700	-1.374	8.55734178e-10	1.361544024e-10	-1.414086504e-10
101.176	0.904	-1.480	9.95353686e-10	1.664996994e-10	-1.715299542e-10
103.380	1.353	-1.300	9.080616e-10	1.468833876e-10	-1.521728946e-10
106.379	1.919	-1.646	6.33554736e-10	1.10091519e-10	-1.130169648e-10
110.003	1.424	-1.705	7.8069558e-10	1.220972304e-10	-1.253434236e-10
113.065	1.399	-1.638	7.53957432e-10	1.250791782e-10	-1.280520594e-10
116.301	1.512	-1.837	7.16798388e-10	1.11193308e-10	-1.133159874e-10
119.914	1.409	-2.101	6.83734206e-10	1.052438664e-10	-1.064386866e-10
123.192	1.846	-1.869	6.39207564e-10	9.65249508e-11	-9.77319474e-11
127.035	1.947	-1.997	5.7889146e-10	9.1117578e-11	-9.23277282e-11
130.821	1.812	-1.839	6.15914724e-10	9.91950864e-11	-1.007446428e-10
134.681	2.914	-2.048	4.66992972e-10	7.34154138e-11	-7.42990788e-11
139.861	2.116	-2.266	4.79440932e-10	8.53691784e-11	-8.6175405e-11
144.074	2.114	-2.097	5.15338536e-10	9.196248e-11	-9.30391716e-11
148.186	2.646	-1.998	5.05912338e-10	8.31278448e-11	-8.43584496e-11
152.970	2.041	-2.138	3.771396372e-10	7.38388284e-11	-7.44491814e-11
159.652	3.762	-4.641	1.658510652e-10	3.568571712e-11	-3.593718168e-11
165.912	2.798	-2.499	2.741275998e-10	5.71879956e-11	-5.7677154e-11
171.826	2.674	-3.116	2.275963194e-10	5.41484508e-11	-5.45276712e-11
176.889	2.493	-2.389	3.97636767e-10	7.04218152e-11	-7.14532176e-11
182.012	2.874	-2.631	4.218058698e-10	6.80322186e-11	-6.91935756e-11
186.900	1.907	-2.014	4.252385634e-10	7.95612546e-11	-8.0455782e-11
191.362	3.096	-2.555	2.474467422e-10	5.69477964e-11	-5.74002066e-11
198.645	4.493	-4.187	1.565362506e-10	3.724407732e-11	-3.750685104e-11
218.589	14.104	-8.462	1.04984439e-10	2.240620536e-11	-2.240620536e-11
247.407	10.359	-14.714	8.5089384e-11	1.913669742e-11	-1.913669742e-11
275.445	14.917	-17.678	7.26126036e-11	1.589765238e-11	-1.589765238e-11
304.456	10.979	-14.094	8.52355008e-11	1.910321232e-11	-1.910321232e-11
326.761	13.748	-11.326	8.65611516e-11	1.940032086e-11	-1.940032086e-11
379.467	41.276	-38.959	2.663040438e-11	5.99614992e-12	-5.99614992e-12
491.787	96.946	-71.044	7.45956486e-12	1.6818762e-12	-1.6818762e-12
776.044	171.232	-187.311	3.798015384e-12	7.69022442e-13	-7.69022442e-13
6530.282	124779.197	-996.946	4.378280412e-14	1.449439674e-14	-1.211156286e-14
