Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
73.6012309902014	0.88762599785484	-0.852323023690559	1.25888479137999e-09	1.87663662472435e-10	-1.87663928656296e-10
75.3335018772794	0.895402088773622	-0.844644889223176	1.26715236075888e-09	1.8889726366304e-10	-1.88902342731495e-10
77.2626167505137	1.03353520233276	-1.03371278446075	1.06983632013614e-09	1.59483458800997e-10	-1.59489242138802e-10
79.3995575547395	1.02273439654296	-1.10340560189304	1.03861624569614e-09	1.54829214884176e-10	-1.54834425179722e-10
81.3855449255576	0.960900038851278	-0.963252974275122	1.35075451706255e-09	1.85541942788409e-10	-1.85548037704723e-10
90.669	1.298	-1.444	8.09748093e-10	1.257352723e-10	-1.257370697e-10
93.386	1.293	-1.420	8.05512851e-10	1.276906543e-10	-1.276926409e-10
96.385	1.501	-1.705	7.14010528e-10	1.064385751e-10	-1.06440609e-10
99.364	1.201	-1.478	8.41234757e-10	1.279759206e-10	-1.279783802e-10
101.890	1.084	-1.325	9.35218911e-10	1.422736227e-10	-1.422761769e-10
104.457	1.026	-1.483	8.84311813e-10	1.373132717e-10	-1.373154948e-10
107.220	2.017	-1.737	5.81746957e-10	9.22190599e-11	-9.22206208e-11
111.413	1.488	-2.177	5.8883297e-10	9.73425013e-11	-9.73441568e-11
114.970	1.883	-2.069	5.88945071e-10	9.03692988e-11	-9.03710962e-11
118.534	1.785	-1.681	6.76845972e-10	1.008984207e-10	-1.009006438e-10
122.335	1.845	-2.016	5.59930305e-10	9.06331855e-11	-9.06352667e-11
125.425	1.720	-1.246	7.60750023e-10	1.157319372e-10	-1.157352009e-10
129.003	1.795	-1.858	3.140225715e-10	8.25393987e-11	-8.25402501e-11
133.060	1.771	-2.262	3.439129078e-10	7.1130686e-11	-7.11316793e-11
136.858	2.158	-2.027	5.05375431e-10	8.35458008e-11	-8.35475036e-11
140.957	1.692	-1.941	3.723031719e-10	7.95374569e-11	-7.95384975e-11
143.998	2.200	-1.349	4.302595308e-10	7.85543737e-11	-7.85557927e-11
148.328	1.384	-2.130	4.149409055e-10	8.05597991e-11	-8.056136e-11
151.750	2.338	-2.039	4.91619645e-10	7.9576101e-11	-7.9577993e-11
156.580	1.821	-2.491	2.974584899e-10	6.79151374e-11	-6.79158942e-11
160.454	1.610	-2.053	3.972786598e-10	7.7130691e-11	-7.71314951e-11
164.194	2.072	-2.130	3.297433887e-10	6.82000253e-11	-6.82006875e-11
168.740	1.937	-2.473	2.984576551e-10	6.58965626e-11	-6.58970356e-11
172.649	1.453	-1.972	4.346871892e-10	8.18221888e-11	-8.18230402e-11
177.389	1.853	-3.287	2.023866724e-10	5.96260962e-11	-5.96263327e-11
180.636	2.100	-1.394	3.963364438e-10	8.19733123e-11	-8.19738326e-11
184.633	1.684	-1.897	4.252018364e-10	7.76309358e-11	-7.76315507e-11
188.160	2.230	-1.843	3.570365766e-10	6.93177716e-11	-6.93182446e-11
193.473	3.658	-3.083	1.849712381e-10	4.369955238e-11	-4.369973685e-11
199.666	3.268	-2.535	2.3833997e-10	4.92952559e-11	-4.92955397e-11
219.125	19.078	-16.190	7.71054328e-11	2.36429523e-11	-2.364301379e-11
248.956	10.694	-10.753	7.23100642e-11	2.224667049e-11	-2.224672252e-11
271.253	4.317	-11.603	1.698182574e-10	3.29698028e-11	-3.29700393e-11
286.545	14.378	-10.975	9.2039651e-11	2.940561536e-11	-2.940569577e-11
305.256	2.952	-4.334	1.617158147e-10	4.099059624e-11	-4.099075233e-11
313.593	3.991	-5.385	1.146378882e-10	3.248350204e-11	-3.248359664e-11
320.621	3.028	-3.037	1.487847988e-10	5.17935e-11	-5.17935946e-11
331.605	5.820	-7.956	7.80595211e-11	3.118696174e-11	-2.87256684e-11
340.968	3.707	-3.543	1.244804979e-10	4.333292062e-11	-4.333302468e-11
348.024	5.398	-3.349	1.149656299e-10	3.525207037e-11	-3.525217443e-11
357.354	3.994	-3.932	1.225657939e-10	3.915836452e-11	-3.915847331e-11
1356.618	3231.046	-1150.439	2.902315229e-11	7.61815219e-12	-7.61815219e-12
4910.806	226.028	-323.142	5.2763623e-12	1.239835168e-12	-1.239835168e-12
57240.120	58639.162	-11666.082	1.471933903e-13	4.094072785e-14	-4.094072785e-14
