Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
2976.361	18.824	-18.786	3.93960276e-11	8.834442e-12	-8.834442e-12
3009.085	11.172	-13.901	6.2033976e-11	1.357382616e-11	-1.357382616e-11
3036.653	21.214	-16.396	4.03343604e-11	8.83772304e-12	-8.83772304e-12
3069.517	13.423	-11.650	5.79764604e-11	1.30010466e-11	-1.30010466e-11
3096.972	11.041	-14.032	5.81973168e-11	1.303191888e-11	-1.303191888e-11
3124.872	10.722	-16.858	5.71599204e-11	1.218653772e-11	-1.218653772e-11
3149.013	14.161	-13.419	5.44137792e-11	1.193897544e-11	-1.193897544e-11
3178.026	12.728	-14.852	5.47516668e-11	1.199671728e-11	-1.199671728e-11
3204.157	14.178	-13.402	5.15946888e-11	1.16198478e-11	-1.16198478e-11
3239.993	13.445	-21.658	4.2684582e-11	9.37828368e-12	-9.37828368e-12
3270.477	13.048	-17.040	4.75309236e-11	1.067394108e-11	-1.067394108e-11
3301.817	16.810	-18.292	4.03211544e-11	9.05485944e-12	-9.05485944e-12
3334.674	14.041	-16.047	5.0674026e-11	1.110326256e-11	-1.110326256e-11
3377.624	26.252	-28.909	2.782011672e-11	6.11239152e-12	-6.11239152e-12
3422.154	21.839	-18.278	3.602493384e-11	8.1016764e-12	-8.1016764e-12
3463.254	20.856	-19.261	3.742506e-11	8.20026384e-12	-8.20026384e-12
3501.104	20.615	-16.994	3.96604824e-11	8.6900688e-12	-8.6900688e-12
3543.885	20.459	-22.165	3.337483188e-11	7.48420476e-12	-7.48420476e-12
3576.993	19.946	-12.649	4.37339568e-11	9.79319016e-12	-9.79319016e-12
3614.364	12.663	-17.425	5.24962308e-11	1.123597356e-11	-1.123597356e-11
3647.175	22.476	-20.148	3.674205312e-11	7.86404652e-12	-7.86404652e-12
3695.326	26.979	-25.675	2.719043976e-11	6.08865792e-12	-6.08865792e-12
3745.157	14.758	-22.852	4.02166596e-11	8.787942e-12	-8.787942e-12
3783.715	21.331	-23.800	3.155638428e-11	7.0663074e-12	-7.0663074e-12
3834.315	18.370	-29.269	3.297267012e-11	7.0664748e-12	-7.0664748e-12
3871.602	18.692	-18.917	3.79139796e-11	8.51428764e-12	-8.51428764e-12
3956.741	47.882	-66.447	2.390707848e-11	5.37648252e-12	-5.37648252e-12
4043.476	28.744	-38.852	3.553201524e-11	8.00231148e-12	-8.00231148e-12
4107.093	17.760	-34.873	5.9730738e-11	1.305206268e-11	-1.305206268e-11
4143.141	24.336	-18.288	3.32430732e-11	7.45466052e-12	-7.45466052e-12
4210.867	18.573	-43.390	4.10733756e-11	9.23702412e-12	-9.23702412e-12
4253.712	25.874	-24.272	2.978000616e-11	6.5251404e-12	-6.5251404e-12
4403.944	177.071	-124.358	1.9646994e-11	3.290241048e-12	-3.290241048e-12
8844.480	30.355	-29.820	1.401306888e-11	3.1491753e-12	-3.1491753e-12
8930.937	46.698	-56.102	8.29305552e-12	1.861836564e-12	-1.861836564e-12
9008.006	24.790	-30.371	1.642042596e-11	3.586649532e-12	-3.586649532e-12
9070.485	47.560	-37.689	1.011364956e-11	2.270570076e-12	-2.270570076e-12
9161.261	37.018	-43.216	1.06395162e-11	2.391032976e-12	-2.391032976e-12
9229.338	49.175	-31.059	1.067246052e-11	2.400851172e-12	-2.400851172e-12
9328.256	45.534	-49.744	8.96031936e-12	2.013664272e-12	-2.013664272e-12
9427.641	53.964	-53.850	7.95100896e-12	1.785045348e-12	-1.785045348e-12
9527.110	52.281	-45.504	9.156501e-12	2.009604636e-12	-2.009604636e-12
9637.462	47.236	-58.072	8.8480572e-12	1.898502744e-12	-1.898502744e-12
9750.216	57.341	-65.518	6.86081088e-12	1.546505556e-12	-1.546505556e-12
9846.895	35.881	-39.338	1.140027852e-11	2.554292244e-12	-2.554292244e-12
9938.878	66.757	-56.102	6.96177912e-12	1.559823156e-12	-1.559823156e-12
10128.714	60.961	-123.079	7.79696004e-12	1.602237852e-12	-1.602237852e-12
89983.037	5825.338	-5255.413	8.8584918e-13	1.909936536e-13	-1.909936536e-13
135800.897	11561.872	-6052.708	3.35631978e-13	9.017466e-14	-9.017466e-14
210910.617	16911.720	-6325.188	2.439153408e-13	5.4985506e-14	-5.4985506e-14
328012.779	56389.985	-37142.984	1.813145112e-13	3.48325734e-14	-3.48325734e-14
526920.353	34674.656	-45902.535	1.138849356e-13	2.9269146e-14	-2.9269146e-14
721038.363	93395.888	-113739.958	6.20225184e-14	1.759317456e-14	-1.759317456e-14
