Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
59.0769036704243	0.485252308358369	-0.475421772696329	1.36859341906732e-07	1.35531317727461e-08	-1.35511326904793e-08
60.0936637173413	0.609022251637647	-0.53150773855856	1.16641183715927e-07	1.15501313594089e-08	-1.15491982552226e-08
61.7216219655879	0.960287953197231	-1.01893599660897	1.24119825579139e-07	9.10272210656405e-09	-9.10091413866618e-09
68.117	0.426	-0.400	1.133860896e-07	1.185920568e-08	-1.16559702e-08
68.899	0.399	-0.357	1.216190052e-07	1.303470252e-08	-1.27750392e-08
69.742	0.415	-0.444	1.05577668e-07	1.152912852e-08	-1.127415996e-08
70.720	0.420	-0.563	9.2510586e-08	1.01013696e-08	-9.9257886e-09
71.515	0.381	-0.375	1.20529458e-07	1.29069612e-08	-1.279029528e-08
72.380	0.545	-0.484	8.7425352e-08	9.48880548e-09	-9.43545456e-09
73.441	0.460	-0.517	9.33078636e-08	9.95794128e-09	-9.91035108e-09
74.354	0.467	-0.453	9.9081738e-08	1.057467096e-08	-1.052339148e-08
75.273	0.473	-0.452	9.49566996e-08	1.058905764e-08	-1.053492804e-08
76.273	0.464	-0.527	9.07212096e-08	9.84840444e-09	-9.79055532e-09
77.330	0.426	-0.593	6.859487376e-08	8.53078716e-09	-8.49946608e-09
78.253	0.549	-0.497	8.84284884e-08	9.37680408e-09	-9.34384248e-09
79.265	0.450	-0.463	6.860628936e-08	8.95850172e-09	-8.93677428e-09
80.230	0.478	-0.515	8.9698266e-08	9.95869728e-09	-9.89321256e-09
81.277	0.470	-0.569	8.66308716e-08	9.66403116e-09	-9.49965408e-09
82.301	0.530	-0.554	8.25702444e-08	9.25330392e-09	-9.06075072e-09
83.401	0.555	-0.571	7.64938944e-08	8.92489752e-09	-8.77779504e-09
84.487	0.652	-0.530	6.806850876e-08	7.97384196e-09	-7.9541028e-09
85.580	0.426	-0.442	7.023655044e-08	9.18367632e-09	-9.1584864e-09
86.566	0.577	-0.560	7.86937032e-08	8.686251e-09	-8.63249184e-09
87.636	0.652	-0.492	7.78420692e-08	8.65547424e-09	-8.58270168e-09
88.806	0.393	-0.519	6.476639148e-08	8.78313996e-09	-8.72215344e-09
89.766	0.528	-0.566	8.34063804e-08	8.997156e-09	-8.85358404e-09
90.759	0.453	-0.465	6.592664736e-08	8.6763474e-09	-8.59156956e-09
91.740	0.520	-0.528	8.59098744e-08	9.4467114e-09	-9.27130428e-09
