Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
116.215	2.656	-3.457	4.09818417e-10	8.62987678e-11	-8.33012078e-11
121.978	2.289	-3.107	4.394548223e-10	9.43158733e-11	-9.41487101e-11
139.675	8.262	-9.289	2.356626425e-10	5.164589114e-11	-5.164589114e-11
156.382	9.106	-8.445	2.298218312e-10	5.162070179e-11	-5.162070179e-11
175.308	10.239	-9.820	2.202564969e-10	4.710254196e-11	-4.710254196e-11
196.268	9.337	-10.721	2.072469771e-10	4.546719794e-11	-4.546719794e-11
222.236	15.964	-16.631	1.285191269e-10	2.813509269e-11	-2.813509269e-11
250.255	15.526	-12.054	1.446724198e-10	3.245866274e-11	-3.245866274e-11
295.334	43.159	-29.553	5.469561853e-11	1.232683098e-11	-1.232683098e-11
388.205	78.160	-49.712	2.344701825e-11	5.196324413e-12	-5.196324413e-12
533.122	51.087	-66.756	1.732977503e-11	3.929769981e-12	-3.929769981e-12
736.491	171.161	-152.282	6.20015201e-12	1.421014651e-12	-1.421014651e-12
1245.353	34128.801	-337.701	1.122325848e-12	2.426735962e-13	-2.426735962e-13
