Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
142463.449	3246.144	-3232.029	4.19135947e-13	9.83078219e-14	-9.83078219e-14
153767.966	3448.016	-4858.583	3.98256804e-13	8.41413193e-14	-8.41413193e-14
161119.888	565.865	-695.307	5.64094855e-13	1.290493905e-13	-1.290493905e-13
166980.179	884.959	-804.961	3.51453725e-13	8.84444971e-14	-8.84444971e-14
174580.766	3986.398	-2653.184	3.27359099e-13	5.86391924e-14	-5.86391924e-14
242348.885	1145.674	-1414.259	4.77630312e-13	1.22278274e-13	-1.22278274e-13
247398.308	1834.495	-694.309	5.23685369e-13	1.176507379e-13	-1.176507379e-13
276537.003	1468.997	-1078.420	5.23513397e-13	1.109228111e-13	-1.109228111e-13
339343.716	639.168	-591.922	3.93885006e-13	1.051551737e-13	-1.051551737e-13
341813.752	3099.593	-1830.868	4.52372908e-13	9.80860567e-14	-9.80860567e-14
760646.335	4457.646	-5920.369	5.78266809e-13	1.089973991e-13	-1.089973991e-13
1636709.180	10035.170	-8884.254	4.32989528e-13	9.57101736e-14	-9.57101736e-14
2464080.135	3584.283	-2074.543	4.36063387e-13	9.8471111e-14	-9.8471111e-14
