Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
109.065	32.313	-30.370	1.546732221e-11	3.480915634e-12	-3.480915634e-12
174.636	36.948	-33.257	1.383728599e-11	3.106059656e-12	-3.106059656e-12
251.227	33.069	-39.643	1.383173172e-11	3.03687469e-12	-3.03687469e-12
347.764	84.463	-63.469	6.43981117e-12	1.454908907e-12	-1.454908907e-12
514.024	86.193	-81.797	5.6636948e-12	1.286229529e-12	-1.286229529e-12
666.585	91.593	-66.368	6.00764439e-12	1.371482548e-12	-1.371482548e-12
852.395	93.831	-94.217	4.265548697e-12	1.055238321e-12	-1.055238321e-12
1027.645	146.741	-81.419	3.062075606e-12	8.17160284e-13	-8.17160284e-13
4742.155	480.662	-311.650	9.88032965e-13	2.646053354e-13	-2.646053354e-13
5872.965	1047.289	-650.147	4.53481455e-13	1.236786912e-13	-1.236786912e-13
28094.363	29411.591	-17960.748	5.30693237e-14	2.81753565e-14	-2.183567077e-14
