Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
9797.608	11.160	-13.913	1.587163918e-10	3.56785091e-11	-3.56785091e-11
9820.298	16.050	-11.531	1.471966428e-10	3.304507312e-11	-3.304507312e-11
9846.555	12.360	-10.206	1.898323387e-10	4.15817006e-11	-4.15817006e-11
9873.385	13.110	-14.470	1.578562913e-10	3.385829586e-11	-3.385829586e-11
9897.650	11.410	-11.155	1.755378376e-10	3.930335333e-11	-3.930335333e-11
9923.684	12.957	-14.623	1.543854394e-10	3.390283926e-11	-3.390283926e-11
9954.223	25.041	-17.581	1.669459636e-10	2.843355685e-11	-2.843355685e-11
17344.521	33.486	-24.182	7.22372863e-11	1.403798749e-11	-1.403798749e-11
21321.653	39.954	-37.773	5.90412842e-11	1.298789867e-11	-1.298789867e-11
21385.421	33.854	-23.814	7.51458274e-11	1.701778612e-11	-1.701778612e-11
21459.532	47.497	-40.257	6.0974436e-11	1.22636476e-11	-1.22636476e-11
85314.538	61.187	-59.164	7.45624359e-12	1.699332695e-12	-1.699332695e-12
85428.121	55.418	-52.397	8.41614989e-12	1.894913554e-12	-1.894913554e-12
85536.048	57.811	-52.509	1.117610977e-11	2.164599227e-12	-2.164599227e-12
96624.414	35.984	-56.786	9.84092334e-12	2.207889298e-12	-2.207889298e-12
96721.693	71.593	-61.295	6.78426154e-12	1.529810519e-12	-1.529810519e-12
96852.453	53.662	-59.167	7.91376624e-12	1.790551385e-12	-1.790551385e-12
96957.258	54.164	-51.143	8.47683531e-12	1.921203291e-12	-1.921203291e-12
97052.164	39.492	-40.742	1.120905283e-11	2.52331612e-12	-2.52331612e-12
97118.232	36.107	-26.576	1.43135174e-11	3.222175467e-12	-3.222175467e-12
97205.484	69.206	-51.145	7.40871078e-12	1.676279302e-12	-1.676279302e-12
97336.616	60.933	-61.925	7.33124814e-12	1.647591288e-12	-1.647591288e-12
97462.675	40.181	-65.126	8.87208454e-12	1.967408533e-12	-1.967408533e-12
97548.609	52.031	-45.754	9.21344102e-12	2.070586451e-12	-2.070586451e-12
97632.106	38.740	-31.465	1.292079376e-11	2.898882884e-12	-2.898882884e-12
97728.384	50.276	-57.538	8.35869208e-12	1.875339469e-12	-1.875339469e-12
97852.550	61.498	-73.890	1.223781084e-11	2.024708337e-12	-2.024708337e-12
101240.096	30.465	-34.725	1.376451404e-11	3.0867147e-12	-3.0867147e-12
101326.971	58.927	-56.410	7.77859965e-12	1.757029499e-12	-1.757029499e-12
101458.478	47.771	-72.580	7.42479722e-12	1.66983758e-12	-1.66983758e-12
