Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
134.892833387893	0.321448605121503	-0.329700403358487	4.20413671886e-09	5.09830654435655e-10	-5.09829735527907e-10
135.498944381419	0.30423060790713	-0.284662388403859	3.07824173721825e-09	4.588800406906e-10	-4.58879357588021e-10
136.085848388887	0.204809625037456	-0.282673399560537	3.71411503711971e-09	5.53671253172744e-10	-5.53670453489087e-10
136.582889408716	0.250434563611947	-0.292231394792054	3.34429048274464e-09	4.98540908752846e-10	-4.98540095031174e-10
137.20668571004	0.27424231054033	-0.37336173771169	2.79638316172979e-09	4.16863232781531e-10	-4.16862530756916e-10
137.738241959651	0.322575060391387	-0.257313939070599	4.72718515878608e-09	5.7326182966304e-10	-5.73260358372671e-10
138.340881977458	0.337282044613602	-0.280064957416414	2.93739500481422e-09	4.37884311755321e-10	-4.37883559592471e-10
138.969906046298	0.279339971738068	-0.291742024225925	3.17967943803728e-09	4.74002311590289e-10	-4.74001485963899e-10
139.482293208951	0.268668767202854	-0.23304719091513	3.61732219722063e-09	5.39242778734916e-10	-5.39241836017672e-10
140.00446261023	0.312368399261061	-0.253500634075948	3.20574139443965e-09	4.77887471924967e-10	-4.77886634422231e-10
140.596967889717	0.260720136814371	-0.280136880225626	3.35178373375146e-09	4.99658455157154e-10	-4.99657567109574e-10
141.228239563152	0.369513441978853	-0.37055153662115	2.45431632697447e-09	3.6587088248625e-10	-3.65870189473421e-10
141.855231006632	0.261973974320853	-0.257478001501141	3.49417864303588e-09	5.20885760722063e-10	-5.20884769728642e-10
142.483181252127	0.272731724241169	-0.365976271173849	2.84586657603826e-09	4.24240385601661e-10	-4.2423953652128e-10
143.059956763284	0.243900222388163	-0.304043786915827	3.31399900932684e-09	4.94026076924224e-10	-4.94025154364003e-10
143.754495669449	0.354424308693012	-0.450638683777015	3.4133473004006e-09	4.13934654591994e-10	-4.13933417723893e-10
151.458	0.375	-0.452	2.223651752e-09	3.397705472e-10	-3.397697632e-10
152.166	0.289	-0.332	3.015833576e-09	4.49578136e-10	-4.49577352e-10
152.736	0.269	-0.281	3.860396792e-09	5.40569568e-10	-5.40568e-10
153.281	0.326	-0.277	3.050141808e-09	4.66057032e-10	-4.66055856e-10
154.013	0.449	-0.405	2.202900448e-09	3.327417128e-10	-3.327408896e-10
154.805	0.246	-0.343	3.179900864e-09	4.74036584e-10	-4.74035016e-10
