Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
1389.740	0.508	-0.582	1.86834501e-09	2.785895672e-10	-2.786228186e-10
1390.621	0.533	-0.373	2.249858744e-09	3.354784496e-10	-3.355191308e-10
1391.584	0.410	-0.430	2.380496146e-09	3.646394402e-10	-3.646821514e-10
1392.606	0.501	-0.612	1.79487728e-09	2.7493711e-10	-2.749700772e-10
1393.553	0.415	-0.446	2.366018592e-09	3.528078288e-10	-3.528549654e-10
1394.757	0.751	-0.788	1.323875056e-09	1.974133182e-10	-1.974419006e-10
1395.982	0.577	-0.474	1.937729598e-09	2.889564118e-10	-2.890017214e-10
1396.918	0.383	-0.359	2.746173038e-09	4.09520426e-10	-4.0958904e-10
1397.688	0.522	-0.387	2.24100429e-09	3.34193216e-10	-3.342520454e-10
1398.696	0.370	-0.486	2.29112905e-09	3.60649394e-10	-3.607104564e-10
1399.550	0.496	-0.484	2.090786726e-09	3.118056046e-10	-3.118679662e-10
1400.500	0.498	-0.454	2.131371704e-09	3.26531387e-10	-3.265974432e-10
1401.491	0.337	-0.492	2.494259376e-09	3.719965662e-10	-3.72081745e-10
1402.465	0.515	-0.638	1.7262105e-09	2.717500912e-10	-2.718099762e-10
1403.619	0.425	-0.639	1.943693738e-09	2.899009708e-10	-2.899765274e-10
1404.564	0.435	-0.520	2.164485876e-09	3.228386546e-10	-3.229264724e-10
1405.521	0.371	-0.522	2.315398106e-09	3.453548462e-10	-3.454529358e-10
1406.508	0.445	-0.615	1.950240894e-09	2.90896361e-10	-2.909828796e-10
1407.640	0.649	-0.687	1.518599152e-09	2.326923228e-10	-2.32761424e-10
1408.729	0.606	-0.440	1.902316654e-09	2.995146042e-10	-2.996037618e-10
1409.903	0.642	-0.568	1.71104843e-09	2.552426996e-10	-2.553325068e-10
1411.005	0.522	-0.460	2.04495298e-09	3.2199251e-10	-3.221002218e-10
1412.003	0.469	-0.476	2.125876494e-09	3.34744767e-10	-3.348627912e-10
1412.972	0.650	-0.501	1.74469162e-09	2.747300094e-10	-2.748312658e-10
1414.262	0.692	-0.639	1.538635658e-09	2.35808048e-10	-2.359048384e-10
1415.430	0.441	-0.477	2.273223232e-09	3.391623312e-10	-3.393162052e-10
1416.478	0.562	-0.607	1.78536267e-09	2.66382284e-10	-2.665081034e-10
1417.622	0.541	-0.582	1.823939978e-09	2.795601102e-10	-2.796911264e-10
1418.862	0.607	-0.699	1.598110598e-09	2.38459228e-10	-2.385813528e-10
1419.993	0.647	-0.524	1.782649372e-09	2.660013748e-10	-2.661416072e-10
1421.107	0.605	-0.468	1.949700102e-09	2.909361896e-10	-2.910945296e-10
1422.155	0.381	-0.442	2.161113234e-09	4.030256846e-10	-4.031700988e-10
1423.078	0.492	-0.542	1.493165282e-09	3.344612978e-10	-3.345457864e-10
1424.169	0.497	-0.599	1.80435535e-09	2.920815968e-10	-2.922242246e-10
1425.213	0.699	-0.547	1.651200782e-09	2.531172084e-10	-2.532563852e-10
1426.408	0.574	-0.497	1.95684286e-09	2.920218336e-10	-2.921930438e-10
1427.568	0.485	-0.586	1.956858288e-09	2.92026259e-10	-2.921987684e-10
1428.525	0.504	-0.472	2.064995982e-09	3.25250051e-10	-3.254204898e-10
1429.583	0.410	-0.553	2.177514416e-09	3.249462818e-10	-3.251326764e-10
1430.377	0.375	-0.385	2.70688523e-09	4.14937278e-10	-4.15159766e-10
1431.229	0.551	-0.477	2.037893452e-09	3.041029726e-10	-3.042724776e-10
1432.296	0.531	-0.515	1.96425236e-09	3.010908586e-10	-3.012471686e-10
1433.375	0.624	-0.548	1.78625587e-09	2.665481756e-10	-2.666940108e-10
1434.470	0.570	-0.471	2.012248056e-09	3.002732964e-10	-3.004389444e-10
1435.470	0.338	-0.430	2.673567652e-09	4.09823708e-10	-4.100397e-10
1436.451	0.567	-0.643	1.698500594e-09	2.603599642e-10	-2.604981666e-10
1437.541	0.448	-0.523	2.115348508e-09	3.242597358e-10	-3.244330572e-10
1438.584	0.609	-0.594	1.741359172e-09	2.598553468e-10	-2.600016692e-10
1439.716	0.424	-0.524	2.166984806e-09	3.321732442e-10	-3.323496918e-10
1440.493	0.420	-0.352	2.712379222e-09	4.047534176e-10	-4.049795596e-10
1441.413	0.490	-0.501	2.11336195e-09	3.15364357e-10	-3.155399114e-10
1442.457	0.550	-0.553	1.885088856e-09	2.88958523e-10	-2.891098798e-10
1443.469	0.422	-0.462	2.41935603e-09	3.610141038e-10	-3.612077252e-10
1444.352	0.388	-0.461	2.473364586e-09	3.791135026e-10	-3.792999784e-10
1445.506	0.543	-0.766	1.633694874e-09	2.437627654e-10	-2.438838752e-10
1446.594	0.522	-0.545	1.966291292e-09	3.013709174e-10	-3.015074552e-10
1447.576	0.480	-0.459	2.234421812e-09	3.424582798e-10	-3.426082156e-10
1448.545	0.421	-0.490	2.348463152e-09	3.503881906e-10	-3.505472208e-10
1449.630	0.390	-0.664	1.916419064e-09	3.101671916e-10	-3.10285094e-10
1450.435	0.505	-0.415	2.23822319e-09	3.52461592e-10	-3.526016214e-10
1451.569	0.525	-0.630	1.824125114e-09	2.83777963e-10	-2.838917648e-10
1452.615	0.446	-0.520	2.169968094e-09	3.325630448e-10	-3.326985676e-10
1453.403	0.435	-0.342	2.57307372e-09	4.051806108e-10	-4.05334972e-10
1454.382	0.573	-0.544	1.825546926e-09	2.79772773e-10	-2.798835704e-10
1455.487	0.506	-0.532	2.004180024e-09	2.989998368e-10	-2.9912253e-10
1456.454	0.526	-0.461	2.105276866e-09	3.140791234e-10	-3.142061608e-10
1457.399	0.359	-0.419	2.6234096e-09	4.020359784e-10	-4.021877006e-10
1458.299	0.551	-0.542	1.902978434e-09	2.838937136e-10	-2.840054854e-10
1459.357	0.432	-0.507	2.212940352e-09	3.301325258e-10	-3.302609436e-10
1460.175	0.379	-0.386	2.666218646e-09	4.0858825e-10	-4.08737252e-10
1461.115	0.571	-0.561	1.8025994e-09	2.762398422e-10	-2.763397182e-10
1462.048	0.383	-0.363	2.78861506e-09	4.16005058e-10	-4.1616218e-10
1462.953	0.645	-0.522	1.781141488e-09	2.657084052e-10	-2.658075504e-10
1464.122	0.470	-0.524	2.084150656e-09	3.109064364e-10	-3.110198322e-10
1465.120	0.510	-0.527	1.998107888e-09	2.980675796e-10	-2.981743982e-10
1466.181	0.623	-0.551	1.731755242e-09	2.653701666e-10	-2.654583904e-10
1467.390	0.559	-0.585	1.811637366e-09	2.702435876e-10	-2.703361962e-10
1468.447	0.592	-0.499	1.900298022e-09	2.834646528e-10	-2.83559129e-10
1469.536	0.437	-0.497	2.177082432e-09	3.335954216e-10	-3.336972464e-10
1470.506	0.410	-0.533	2.156490924e-09	3.304349958e-10	-3.305328418e-10
1471.364	0.493	-0.448	2.160609794e-09	3.310618598e-10	-3.311575134e-10
1472.355	0.571	-0.498	1.938259834e-09	2.89108946e-10	-2.891946932e-10
1473.328	0.564	-0.402	2.064492948e-09	3.250298772e-10	-3.251157868e-10
1474.440	0.410	-0.547	2.080189314e-09	3.275020924e-10	-3.2758922e-10
1475.425	0.567	-0.575	1.809399088e-09	2.698890278e-10	-2.699695376e-10
1476.480	0.458	-0.489	2.183494796e-09	3.256899926e-10	-3.25787798e-10
1477.363	0.405	-0.424	2.492744996e-09	3.718187382e-10	-3.719309566e-10
1478.432	0.479	-0.665	1.670512172e-09	2.778981086e-10	-2.779653828e-10
1479.465	0.521	-0.554	1.85079363e-09	2.913877834e-10	-2.914661414e-10
1480.719	0.651	-0.733	1.464981574e-09	2.244708228e-10	-2.245341182e-10
