day	total_luminosity(e33erg/s)
0.00E+00	455.72
7.70E-01	422.37
9.80E+00	402.81
1.01E+01	402.87
1.08E+01	370.93
1.99E+01	356.86
2.09E+01	356.04
2.98E+01	368.29
3.66E+01	353.67
3.98E+01	342.76
4.36E+01	283.07
5.09E+01	333.19
5.55E+01	315.06
7.19E+01	263.63
8.99E+01	276.12
1.01E+02	283.85
1.14E+02	261.09
1.28E+02	245.47
1.42E+02	243.27
1.57E+02	213.79
1.71E+02	222.79
1.85E+02	213.84
2.34E+02	218.37
2.70E+02	184.12
2.76E+02	205.73
2.97E+02	189.1
3.18E+02	167.53
3.40E+02	188.06
3.54E+02	165.92
3.74E+02	213.35
3.81E+02	193.69
4.01E+02	161.69
4.23E+02	150.89
4.44E+02	144.71
4.77E+02	149.86
5.07E+02	135.17
5.20E+02	121.2
5.34E+02	144.81
5.76E+02	128.56
5.90E+02	120.81
6.12E+02	147.91
6.40E+02	126.91
6.55E+02	129
6.68E+02	127.82
6.83E+02	128.73
7.24E+02	155.42
7.38E+02	135.86
7.52E+02	147.23
7.95E+02	107.35
8.38E+02	104.64
8.79E+02	97.18
9.23E+02	108.89
9.49E+02	103.06
9.59E+02	117.6
