day	total_luminosity(e33erg/s)
0.00E+00	242.18
3.40E-01	218.98
1.33E+00	187.37
2.68E+00	160.19
4.05E+00	156.54
4.14E+00	140.17
4.65E+00	134.86
5.93E+00	140.21
7.00E+00	147.04
7.04E+00	117.7
9.07E+00	122.64
9.94E+00	144.38
1.27E+01	126.09
1.49E+01	165.03
1.51E+01	146.63
1.73E+01	127.88
1.83E+01	118.4
1.90E+01	128.51
2.08E+01	137.02
2.26E+01	110.39
1.12E+02	395.25
1.13E+02	660.25
1.13E+02	376.16
1.13E+02	312.9
1.14E+02	500.53
1.14E+02	316.85
1.14E+02	364.75
1.15E+02	349.8
1.15E+02	517.31
1.16E+02	284.04
1.16E+02	504.1
1.17E+02	242.11
1.17E+02	613.71
1.18E+02	261.54
1.18E+02	357.83
1.18E+02	292.78
1.19E+02	583.52
1.19E+02	460.1
1.20E+02	367.76
1.20E+02	462.15
1.21E+02	428.16
1.21E+02	383.21
1.23E+02	456.55
1.23E+02	322.6
1.24E+02	275.18
1.24E+02	532.93
1.25E+02	381.79
1.26E+02	280.68
1.27E+02	402.34
1.32E+02	544.21
1.42E+02	447.39
1.52E+02	305.59
1.62E+02	279.42
1.72E+02	313.65
2.08E+02	243.43
2.22E+02	252.24
2.36E+02	237.09
2.64E+02	137.37
2.78E+02	292.11
2.92E+02	160.73
3.20E+02	145.91
3.48E+02	193.33
3.62E+02	165.76
3.76E+02	247.98
4.58E+02	150.91
4.72E+02	150.01
4.86E+02	141.49
4.95E+02	121.85
5.14E+02	155.66
5.28E+02	159.19
5.43E+02	222.86
5.49E+02	116.04
5.65E+02	163.62
5.85E+02	141.2
5.95E+02	156.69
6.05E+02	98.9
6.35E+02	108.8
6.45E+02	103.96
6.56E+02	96.53
6.65E+02	86.49
6.75E+02	125
6.85E+02	103.4
6.94E+02	76.73
7.05E+02	90.14
7.15E+02	119.18
7.25E+02	100.67
7.35E+02	103.33
7.45E+02	100.88
7.51E+02	92.03
8.25E+02	129.11
8.36E+02	139.11
8.65E+02	58.82
8.75E+02	117.71
8.85E+02	115.97
8.95E+02	123.3
9.05E+02	109.43
9.14E+02	96.69
9.24E+02	96.11
9.34E+02	107.56
9.45E+02	141.91
9.54E+02	97.82
9.64E+02	111.42
9.74E+02	101.08
9.84E+02	50.37
9.94E+02	118.5
1.01E+03	115.84
1.01E+03	118.82
1.02E+03	82.85
1.04E+03	116.27
1.04E+03	59.82
1.05E+03	103.68
1.05E+03	81.91
1.06E+03	125.5
1.07E+03	111.73
1.08E+03	115.28
1.09E+03	119.12
1.10E+03	113.74
1.11E+03	115.78
