day	total_luminosity(e33erg/s)
0.00E+00	91.88
3.61E+00	95.41
8.96E+00	85.98
2.99E+01	78.4
5.11E+01	69.43
7.86E+01	64.38
1.16E+02	69.33
1.21E+02	65.09
1.63E+02	68.74
1.70E+02	63.63
1.77E+02	65.56
2.01E+02	75.47
2.19E+02	65.92
2.29E+02	64
2.47E+02	60.61
3.10E+02	63.49
3.31E+02	68.49
3.52E+02	66.39
3.73E+02	65.07
4.36E+02	59.73
4.57E+02	62.81
5.20E+02	76.51
5.87E+02	65.56
6.47E+02	63.77
6.67E+02	61.77
7.31E+02	56.38
7.52E+02	61.64
7.94E+02	60.84
8.57E+02	60.57
8.78E+02	60.93
9.20E+02	57.48
9.41E+02	58.25
9.62E+02	56.72
9.83E+02	64.71
1.00E+03	57.46
1.03E+03	58.45
1.09E+03	61.51
1.11E+03	56.39
1.15E+03	58.57
1.16E+03	52.86
1.22E+03	61.65
1.24E+03	55.89
1.30E+03	58.5
