day	total_luminosity(e33erg/s)
0.00E+00	166.88
7.70E-01	188.59
1.22E+00	192.64
4.56E+00	93.21
5.53E+00	79.61
1.03E+01	70.3
1.08E+01	103.08
1.17E+01	118.01
1.42E+01	94.21
1.76E+01	63.45
1.80E+01	76.65
1.82E+01	107.62
2.35E+01	93.41
2.94E+01	100.44
3.59E+01	88.87
3.65E+01	47.34
1.19E+02	61.75
1.22E+02	64.66
1.34E+02	35.65
1.49E+02	45.82
2.08E+02	61.29
2.08E+02	60.8
2.36E+02	43.68
2.38E+02	60.17
3.32E+02	31.84
6.99E+02	19.84
1.07E+03	8.3
1.83E+03	19.14
1.83E+03	14.31
1.84E+03	12.31
1.84E+03	11.64
1.84E+03	12.09
1.84E+03	15.8
1.84E+03	11.66
1.85E+03	11.34
1.86E+03	10.06
