day	total_luminosity(e33erg/s)
0.00E+00	22.73
2.50E-01	35.22
7.90E-01	22.52
2.32E+00	31.91
3.51E+00	19.84
4.40E+00	20.89
4.42E+00	18.65
4.52E+00	18.68
5.41E+00	18.97
5.43E+00	18.55
6.36E+00	30.17
6.92E+00	19.15
6.94E+00	16.84
8.49E+00	27.58
9.44E+00	15.38
9.47E+00	18.37
1.05E+01	26.23
1.14E+01	16.01
1.18E+01	13.39
1.24E+01	17.97
1.24E+01	15.31
1.30E+01	16.45
1.47E+01	32.11
1.59E+01	14.67
1.59E+01	13.43
1.59E+01	13.93
1.74E+01	12.21
1.86E+01	12.97
2.41E+01	34.61
2.57E+01	21.71
2.64E+01	11.14
2.74E+01	11.72
2.81E+01	8.31
3.04E+01	11.54
3.15E+01	8.66
3.82E+01	17.1
4.05E+01	11.47
4.49E+01	7.88
4.70E+01	10.39
5.18E+01	8.23
5.45E+01	7.67
5.79E+01	9.82
6.18E+01	7.42
6.55E+01	7.62
7.41E+01	8.81
8.03E+01	10.59
8.86E+01	8.94
9.75E+01	6.99
1.02E+02	7.94
1.09E+02	6.42
1.17E+02	5.58
1.24E+02	6.92
1.37E+02	6.16
1.46E+02	13.35
1.51E+02	6.7
1.58E+02	4.98
1.65E+02	6.88
1.99E+02	6.13
2.09E+02	5.53
2.25E+02	13.89
2.39E+02	3.21
3.73E+02	2.71
4.11E+02	1.82
4.14E+02	4.1
4.14E+02	6.55
4.71E+02	2.49
5.46E+02	2.22
5.48E+02	2.25
