day	total_luminosity(e33erg/s)
0.00E+00	489.23
2.29E+01	410.01
5.09E+01	347.67
7.58E+01	300.66
9.17E+01	271.32
1.11E+02	242.65
1.25E+02	244.52
1.31E+02	227.98
1.45E+02	220.94
1.58E+02	212.33
1.64E+02	207.91
1.69E+02	198.21
2.85E+02	126.88
3.06E+02	121.7
3.27E+02	107.71
3.51E+02	103.53
3.73E+02	96.75
3.87E+02	86.48
4.18E+02	83.52
4.31E+02	73.18
4.47E+02	72.96
4.75E+02	68.81
5.26E+02	60.22
6.42E+02	45.75
7.32E+02	39.66
8.27E+02	29.27
8.92E+02	23.86
1.01E+03	18.38
1.01E+03	18.38
1.16E+03	14.88
1.16E+03	16.56
