day	total_luminosity(e33erg/s)
0.00E+00	91.37
9.30E-01	81.87
1.94E+00	68.18
3.79E+00	66.09
4.49E+00	66.69
5.55E+00	50.63
8.10E+00	50.4
8.53E+00	44.06
1.15E+01	58.31
1.18E+01	42.59
1.27E+01	40.15
1.35E+01	37.68
1.47E+01	29.1
1.95E+01	34.31
2.04E+01	27.85
2.14E+01	26.25
2.28E+01	26.71
2.38E+01	21.23
2.87E+01	20.52
2.98E+01	19.68
3.05E+01	18.12
3.19E+01	16.15
3.26E+01	12.97
4.31E+01	12.17
4.97E+01	7.31
6.51E+01	12.9
6.51E+01	10.07
6.70E+01	9.26
6.95E+01	11.75
7.17E+01	8.95
7.78E+01	10.17
8.43E+01	7.14
8.93E+01	9.05
9.19E+01	11.31
9.88E+01	4.09
1.05E+02	2.55
1.09E+02	6.56
2.19E+02	3.4
2.21E+02	3.25
2.24E+02	3.77
2.25E+02	3.16
2.27E+02	3.58
2.28E+02	4.53
2.33E+02	11.64
2.65E+02	3.8
2.73E+02	3.37
2.79E+02	3.05
2.95E+02	2.64
3.16E+02	2.89
3.38E+02	2.61
3.47E+02	2.79
3.57E+02	9.39
3.98E+02	2.29
4.04E+02	2.27
4.21E+02	2.83
4.48E+02	9.84
4.81E+02	2.52
5.77E+02	1.81
5.98E+02	2.22
6.29E+02	3.37
6.30E+02	2.88
6.51E+02	2.51
6.99E+02	1.44
7.02E+02	3.27
7.33E+02	4.42
7.34E+02	4.42
7.78E+02	2.41
8.41E+02	2.7
8.42E+02	1.55
9.67E+02	1.19
