CALDB environment variable = /opt/local/HEA/chandra/CALDB
             CALDB version = 4.5.5.1
             release date  = 2013-01-08T17:00:00 UTC
CALDB query completed successfully.
 
--------------------------------------------------------------------------------
Data for Table Block LIGHTCURVE
--------------------------------------------------------------------------------
 
ROW    TIME                 COUNT_RATE           COUNT_RATE_ERR
 
     1  75110465.6370429993                    0                    0
     2  75110468.8780830204                    0                    0
     3  75110472.1191230118                    0                    0
     4  75110475.3601630032                    0                    0
     5  75110478.6012029946                    0                    0
     6  75110481.8422430158                    0                    0
     7  75110485.0832830071                    0                    0
     8  75110488.3243229985                    0                    0
     9  75110491.5653630197                    0                    0
    10  75110494.8064030111                    0                    0
    11  75110498.0474430025                    0                    0
    12  75110501.2884829938                    0                    0
    13  75110504.5295230150                    0                    0
    14  75110507.7705630064                    0                    0
    15  75110511.0116029978                    0                    0
    16  75110514.2526430190                    0                    0
    17  75110517.4936830103                    0                    0
    18  75110520.7347230017                    0                    0
    19  75110523.9757629931                    0                    0
    20  75110527.2168030143                    0                    0
    21  75110530.4578430057                    0                    0
    22  75110533.6988829970                    0                    0
    23  75110536.9399230182                    0                    0
    24  75110540.1809630096                    0                    0
    25  75110543.4220030010                    0                    0
    26  75110546.6630429924                    0                    0
    27  75110549.9040830135                    0                    0
    28  75110553.1451230049                    0                    0
    29  75110556.3861629963                    0                    0
    30  75110559.6272030175                    0                    0
    31  75110562.8682430089                    0                    0
    32  75110566.1092830002                    0                    0
    33  75110569.3503230214                    0                    0
    34  75110572.5913630128                    0                    0
    35  75110575.8324030042                    0                    0
    36  75110579.0734429955                    0                    0
    37  75110582.3144830167                    0                    0
    38  75110585.5555230081                    0                    0
    39  75110588.7965629995                    0                    0
    40  75110592.0376030207                    0                    0
    41  75110595.2786430120                    0                    0
    42  75110598.5196830034                    0                    0
    43  75110601.7607229948                    0                    0
    44  75110605.0017630160                    0                    0
    45  75110608.2428030074                    0                    0
    46  75110611.4838429987                    0                    0
    47  75110614.7248830199                    0                    0
    48  75110617.9659230113                    0                    0
    49  75110621.2069630027                    0                    0
    50  75110624.4480029941                    0                    0
    51  75110627.6890430152                    0                    0
    52  75110630.9300830066                    0                    0
    53  75110634.1711229980                    0                    0
    54  75110637.4121630192                    0                    0
    55  75110640.6532030106                    0                    0
    56  75110643.8942430019                    0                    0
    57  75110647.1352829933                    0                    0
    58  75110650.3763230145                    0                    0
    59  75110653.6173630059                    0                    0
    60  75110656.8584029973                    0                    0
    61  75110660.0994430184                    0                    0
    62  75110663.3404830098                    0                    0
    63  75110666.5815230012                    0                    0
    64  75110669.8225629926                    0                    0
    65  75110673.0636030138                    0                    0
    66  75110676.3046430051                    0                    0
    67  75110679.5456829965                    0                    0
    68  75110682.7867230177                    0                    0
    69  75110686.0277630091                    0                    0
    70  75110689.2688030005                    0                    0
    71  75110692.5098429918                    0                    0
    72  75110695.7508830130                    0                    0
    73  75110698.9919230044                    0                    0
    74  75110702.2329629958                    0                    0
    75  75110705.4740030169                    0                    0
    76  75110708.7150430083                    0                    0
    77  75110711.9560829997                    0                    0
    78  75110715.1971230209                    0                    0
    79  75110718.4381630123                    0                    0
    80  75110721.6792030036                    0                    0
    81  75110724.9202429950                    0                    0
    82  75110728.1612830162                    0                    0
    83  75110731.4023230076                    0                    0
    84  75110734.6433629990                    0                    0
    85  75110737.8844030201                    0                    0
    86  75110741.1254430115                    0                    0
    87  75110744.3664830029                    0                    0
    88  75110747.6075229943                    0                    0
    89  75110750.8485630155                    0                    0
    90  75110754.0896030068                    0                    0
    91  75110757.3306429982                    0                    0
    92  75110760.5716830194                    0                    0
    93  75110763.8127230108                    0                    0
    94  75110767.0537630022                    0                    0
    95  75110770.2948029935                    0                    0
    96  75110773.5358430147                    0                    0
    97  75110776.7768830061                    0                    0
    98  75110780.0179229975                    0                    0
    99  75110783.2589630187                    0                    0
   100   75110786.500003010                    0                    0
   101  75110789.7410430014                    0                    0
   102  75110792.9820829928                    0                    0
   103  75110796.2231230140                    0                    0
   104  75110799.4641630054                    0                    0
   105  75110802.7052029967                    0                    0
   106  75110805.9462430179                    0                    0
   107  75110809.1872830093                    0                    0
   108  75110812.4283230007                    0                    0
   109  75110815.6693629920                    0                    0
   110  75110818.9104030132                    0                    0
   111  75110822.1514430046                    0                    0
   112  75110825.3924829960                    0                    0
   113  75110828.6335230172                    0                    0
   114  75110831.8745630085                    0                    0
   115  75110835.1156029999                    0                    0
   116  75110838.3566430211                    0                    0
   117  75110841.5976830125                    0                    0
   118  75110844.8387230039                    0                    0
   119  75110848.0797629952                    0                    0
   120  75110851.3208030164                    0                    0
   121  75110854.5618430078                    0                    0
   122  75110857.8028829992                    0                    0
   123  75110861.0439230204                    0                    0
   124  75110864.2849630117                    0                    0
   125  75110867.5260030031                    0                    0
   126  75110870.7670429945                    0                    0
   127  75110874.0080830157                    0                    0
   128  75110877.2491230071                    0                    0
   129  75110880.4901629984                    0                    0
   130  75110883.7312030196                    0                    0
   131  75110886.9722430110                    0                    0
   132  75110890.2132830024                    0                    0
   133  75110893.4543229938                    0                    0
   134  75110896.6953630149                    0                    0
   135  75110899.9364030063                    0                    0
   136  75110903.1774429977                    0                    0
   137  75110906.4184830189                    0                    0
   138  75110909.6595230103                    0                    0
   139  75110912.9005630016                    0                    0
   140  75110916.1416029930                    0                    0
   141  75110919.3826430142                    0                    0
   142  75110922.6236830056                    0                    0
   143  75110925.8647229970                    0                    0
   144  75110929.1057630181                    0                    0
   145  75110932.3468030095                    0                    0
   146  75110935.5878430009                    0                    0
   147  75110938.8288829923                    0                    0
   148  75110942.0699230134                    0                    0
   149  75110945.3109630048                    0                    0
   150  75110948.5520029962                    0                    0
   151  75110951.7930430174                    0                    0
   152  75110955.0340830088                    0                    0
   153  75110958.2751230001                    0                    0
   154  75110961.5161630213                    0                    0
   155  75110964.7572030127                    0                    0
   156  75110967.9982430041                    0                    0
   157  75110971.2392829955                    0                    0
   158  75110974.4803230166                    0                    0
   159  75110977.7213630080                    0                    0
   160  75110980.9624029994                    0                    0
   161  75110984.2034430206                    0                    0
   162  75110987.4444830120                    0                    0
   163  75110990.6855230033                    0                    0
   164  75110993.9265629947                    0                    0
   165  75110997.1676030159                    0                    0
   166  75111000.4086430073                    0                    0
   167  75111003.6496829987                    0                    0
   168  75111006.8907230198                    0                    0
   169  75111010.1317630112                    0                    0
   170  75111013.3728030026                    0                    0
   171  75111016.6138429940                    0                    0
   172  75111019.8548830152                    0                    0
   173  75111023.0959230065                    0                    0
   174  75111026.3369629979                    0                    0
   175  75111029.5780030191                    0                    0
   176  75111032.8190430105                    0                    0
   177  75111036.0600830019                    0                    0
   178  75111039.3011229932                    0                    0
   179  75111042.5421630144                    0                    0
   180  75111045.7832030058                    0                    0
   181  75111049.0242429972                    0                    0
   182  75111052.2652830184                    0                    0
   183  75111055.5063230097                    0                    0
   184  75111058.7473630011                    0                    0
   185  75111061.9884029925                    0                    0
   186  75111065.2294430137                    0                    0
   187  75111068.4704830050                    0                    0
   188  75111071.7115229964                    0                    0
   189  75111074.9525630176                    0                    0
   190  75111078.1936030090                    0                    0
   191  75111081.4346430004                    0                    0
   192  75111084.6756830215                    0                    0
   193  75111087.9167230129                    0                    0
   194  75111091.1577630043                    0                    0
   195  75111094.3988029957                    0                    0
   196  75111097.6398430169                    0                    0
   197  75111100.8808830082                    0                    0
   198  75111104.1219229996                    0                    0
   199  75111107.3629630208                    0                    0
   200  75111110.6040030122                    0                    0
   201  75111113.8450430036                    0                    0
   202  75111117.0860829949                    0                    0
   203  75111120.3271230161                    0                    0
   204  75111123.5681630075                    0                    0
   205  75111126.8092029989                    0                    0
   206  75111130.0502430201                    0                    0
   207  75111133.2912830114                    0                    0
   208  75111136.5323230028                    0                    0
   209  75111139.7733629942                    0                    0
   210  75111143.0144030154                    0                    0
   211  75111146.2554430068                    0                    0
   212  75111149.4964829981                    0                    0
   213  75111152.7375230193                    0                    0
   214  75111155.9785630107                    0                    0
   215  75111159.2196030021                    0                    0
   216  75111162.4606429935                    0                    0
   217  75111165.7016830146                    0                    0
   218  75111168.9427230060                    0                    0
   219  75111172.1837629974                    0                    0
   220  75111175.4248030186                    0                    0
   221  75111178.6658430099                    0                    0
   222  75111181.9068830013                    0                    0
   223  75111185.1479229927                    0                    0
   224  75111188.3889630139                    0                    0
   225  75111191.6300030053                    0                    0
   226  75111194.8710429966                    0                    0
   227  75111198.1120830178                    0                    0
   228  75111201.3531230092                    0                    0
   229  75111204.5941630006                    0                    0
   230  75111207.8352029920                    0                    0
   231  75111211.0762430131                    0                    0
   232  75111214.3172830045                    0                    0
   233  75111217.5583229959                    0                    0
   234  75111220.7993630171                    0                    0
   235  75111224.0404030085                    0                    0
   236  75111227.2814429998                    0                    0
   237  75111230.5224830210                    0                    0
   238  75111233.7635230124                    0                    0
   239  75111237.0045630038                    0                    0
   240  75111240.2456029952                    0                    0
   241  75111243.4866430163                    0                    0
   242  75111246.7276830077                    0                    0
   243  75111249.9687229991                    0                    0
   244  75111253.2097630203                    0                    0
   245  75111256.4508030117                    0                    0
   246  75111259.6918430030                    0                    0
   247  75111262.9328829944                    0                    0
   248  75111266.1739230156                    0                    0
   249  75111269.4149630070                    0                    0
   250  75111272.6560029984                    0                    0
   251  75111275.8970430195                    0                    0
   252  75111279.1380830109                    0                    0
   253  75111282.3791230023                    0                    0
   254  75111285.6201629937                    0                    0
   255  75111288.8612030149                    0                    0
   256  75111292.1022430062                    0                    0
   257  75111295.3432829976                    0                    0
   258  75111298.5843230188                    0                    0
   259  75111301.8253630102                    0                    0
   260  75111305.0664030015                    0                    0
   261  75111308.3074429929                    0                    0
   262  75111311.5484830141                    0                    0
   263  75111314.7895230055                    0                    0
   264  75111318.0305629969                    0                    0
   265  75111321.2716030180                    0                    0
   266  75111324.5126430094                    0                    0
   267  75111327.7536830008                    0                    0
   268  75111330.9947229922                    0                    0
   269  75111334.2357630134                    0                    0
   270  75111337.4768030047                    0                    0
   271  75111340.7178429961                    0                    0
   272  75111343.9588830173                    0                    0
   273  75111347.1999230087                    0                    0
   274  75111350.4409630001                    0                    0
   275  75111353.6820030212                    0                    0
   276  75111356.9230430126                    0                    0
   277  75111360.1640830040                    0                    0
   278  75111363.4051229954                    0                    0
   279  75111366.6461630166                    0                    0
   280  75111369.8872030079                    0                    0
   281  75111373.1282429993                    0                    0
   282  75111376.3692830205                    0                    0
   283  75111379.6103230119                    0                    0
   284  75111382.8513630033                    0                    0
   285  75111386.0924029946                    0                    0
   286  75111389.3334430158                    0                    0
   287  75111392.5744830072                    0                    0
   288  75111395.8155229986                    0                    0
   289  75111399.0565630198                    0                    0
   290  75111402.2976030111                    0                    0
   291  75111405.5386430025                    0                    0
   292  75111408.7796829939                    0                    0
   293  75111412.0207230151                    0                    0
   294  75111415.2617630064                    0                    0
   295  75111418.5028029978                    0                    0
   296  75111421.7438430190                    0                    0
   297  75111424.9848830104                    0                    0
   298  75111428.2259230018                    0                    0
