Time	T_+ve	T_-ve	Flux	Fluxpos	Fluxneg
128.339335679321	0.47930433113936	-0.678898708235636	2.72531935825633e-09	4.06345409793287e-10	-4.06347933365333e-10
129.554544775055	0.637571204242676	-0.735904764595318	2.49816024295123e-09	3.73428736158338e-10	-3.73355324804529e-10
130.779132838563	0.822011134414481	-0.587016859264509	2.29193558288931e-09	3.41703289556663e-10	-3.41747674463499e-10
132.241494087496	0.669076908415093	-0.640350114518924	2.47304235462015e-09	3.68778207586675e-10	-3.68832039092396e-10
133.739289729525	0.770797240906603	-0.82871873361438	2.06307138194618e-09	3.08056648858283e-10	-3.08065246488192e-10
135.890859821622	1.29589517992338	-1.38077285118965	2.62739792692023e-09	2.88133787536738e-10	-2.94478034007505e-10
144.813	0.959	-0.815	1.853327008e-09	2.934737728e-10	-2.934065784e-10
146.489	0.623	-0.717	2.490444164e-09	3.868485712e-10	-3.867613672e-10
147.625	0.686	-0.513	2.864070716e-09	4.283876896e-10	-4.282840588e-10
148.993	0.603	-0.682	2.6736307e-09	3.996073276e-10	-3.995613596e-10
150.086	0.598	-0.491	3.109223468e-09	4.733124188e-10	-4.733016028e-10
151.397	0.592	-0.713	2.59596844e-09	3.950836032e-10	-3.950930672e-10
152.778	0.748	-0.790	2.234239488e-09	3.335878156e-10	-3.336133684e-10
154.165	0.606	-0.639	2.765189492e-09	4.127320028e-10	-4.127870968e-10
155.567	0.670	-0.796	2.366692224e-09	3.53229942e-10	-3.532809124e-10
157.009	0.712	-0.772	2.33834146e-09	3.489574192e-10	-3.490144736e-10
158.411	0.735	-0.690	2.365220572e-09	3.665899328e-10	-3.66649894e-10
160.043	0.841	-0.897	1.967587908e-09	2.99149604e-10	-2.992075372e-10
161.674	0.836	-0.790	2.103188776e-09	3.197517856e-10	-3.198153296e-10
163.406	0.672	-0.896	2.150411432e-09	3.332032392e-10	-3.332690816e-10
164.686	0.676	-0.608	2.660116784e-09	4.043746824e-10	-4.044594528e-10
166.093	0.742	-0.731	2.309923772e-09	3.511582048e-10	-3.512304016e-10
167.653	0.739	-0.817	2.185848028e-09	3.322548112e-10	-3.323259264e-10
169.143	0.623	-0.751	2.477481188e-09	3.765831732e-10	-3.7666382e-10
170.635	0.809	-0.869	1.998871836e-09	3.096700568e-10	-3.09734412e-10
172.058	0.682	-0.615	2.623614812e-09	3.987886916e-10	-3.988743408e-10
173.607	0.809	-0.867	2.05974496e-09	3.07195018e-10	-3.0726397e-10
174.999	0.590	-0.583	2.944334224e-09	4.39092082e-10	-4.39190102e-10
176.345	0.857	-0.757	2.094185132e-09	3.123082144e-10	-3.1237791e-10
177.842	0.543	-0.640	2.759840304e-09	4.275498552e-10	-4.276388168e-10
179.116	0.616	-0.730	2.460033628e-09	3.739114184e-10	-3.739921328e-10
180.356	0.545	-0.624	2.711400848e-09	4.366073088e-10	-4.366913356e-10
181.708	0.750	-0.807	2.159060176e-09	3.220046232e-10	-3.220768876e-10
182.885	0.402	-0.427	4.054072724e-09	6.04647524e-10	-6.047832648e-10
183.786	0.445	-0.499	3.557864388e-09	5.306578368e-10	-5.307765424e-10
184.978	0.634	-0.746	2.39977296e-09	3.647903532e-10	-3.648673496e-10
186.352	0.835	-0.740	2.10817698e-09	3.204552312e-10	-3.205235072e-10
187.872	0.609	-0.685	2.535123708e-09	3.927918956e-10	-3.928713256e-10
188.959	0.479	-0.478	3.526458104e-09	5.260423792e-10	-5.261560824e-10
190.112	0.766	-0.675	2.27532474e-09	3.525405572e-10	-3.526116724e-10
191.388	0.569	-0.509	3.086035992e-09	4.691045892e-10	-4.692039612e-10
192.791	1.000	-0.834	1.828511048e-09	2.799868968e-10	-2.800445596e-10
194.703	0.815	-0.912	1.925952392e-09	2.927760732e-10	-2.928369808e-10
196.198	0.545	-0.679	2.757508104e-09	4.113805436e-10	-4.114655168e-10
