time(days)	ertime	flux(1e^-15)	erflux
0.0002640335648148	0.0001743	1.7434187427056712e+05	6.3099199476557282e+04
0.0005255353009259	0.0000872	2.9538294032960263e+05	1.1255982257374341e+05
0.0006705729166667	0.0000581	4.7076648135302431e+05	1.7587821476983122e+05
0.0007725694444444	0.0000436	5.9076588065920526e+05	2.2511964514748682e+05
0.0008738425925926	0.0000581	5.5384291597349034e+05	1.9643194015817044e+05
0.0009903067129630	0.0000581	4.4307432722767710e+05	1.6883971998282732e+05
0.0010923032407407	0.0000436	6.2352173424429225e+05	2.3401519610999341e+05
0.0011935763888889	0.0000581	4.4307432722767710e+05	1.6883971998282732e+05
0.0013245081018519	0.0000725	3.7661318508241943e+05	1.4070256071363474e+05
0.0014554398148148	0.0000581	5.2302551178939891e+05	1.8929757761299014e+05
0.0015711805555556	0.0000581	4.4307432722767710e+05	1.6883971998282732e+05
0.0017021122685185	0.0000727	3.5445948953771731e+05	1.3507177321070427e+05
0.0018909143518519	0.0001161	2.1340589018148390e+05	8.1899098614002229e+04
0.0020797164351852	0.0000727	3.7661321283799509e+05	1.4070256071363474e+05
0.0022540509259259	0.0001016	2.5318536156504476e+05	9.6479838007645914e+04
0.0024573206018519	0.0001016	2.5318533380946916e+05	9.6479838007645914e+04
0.0026754195601852	0.0001161	2.2725193948858191e+05	8.5462914523048981e+04
0.0029803240740741	0.0001888	1.4836799844264446e+05	5.4752868905438838e+04
0.0033434606481481	0.0001743	1.5150128374052938e+05	5.6975271722770056e+04
0.0037355324074074	0.0002179	1.2858561437845138e+05	4.7452493323607567e+04
0.0042440682870370	0.0002904	8.9934157343485305e+04	3.3599730636657550e+04
0.0048538773148148	0.0003196	5.9861123002935550e+04	2.3919987518494778e+04
0.0056094473379630	0.0004358	3.0888066410161839e+04	1.2479803648823838e+04
0.0090227141203704	0.0029776	8.5677315936338873e+03	2.8393498489875933e+03
10.	0.	120.88558992613248	-9
