Name	Type	Energy	Distance(Mpc)	k-correction	z
SN2011dh	IIb	30_1000	7.2583	1.	0.0015
SN2009mk	IIb	20_1000	21.	0.896354	0.0051
SN2009gj	IIb	20_1000	18.	0.896354	0.0053
SN2008ax	IIb	20_1000	8.	0.896354	0.0019
# SN2008D	Ib	30_1000	27.	1.
SN2006jc	Ibc	20_1000	23.6	0.896354	0.00557
# SN2006aj	Ib/c	30_1000	145	1.	
SN2003bg	Ic/pec	30_1000	19.1	1.	0.0046
SN2002ap	Ib/c	30_1200	10	0.950575	0.002194
SN2001em	Ib/c	50_800	80	1.26472	0.01951
SN2001em	Ib/c	30_1000	80	1.	0.01951
SN1998bw	Ib/c	30_1000	38	1.	0.0085
SN1993J	IIb	30_800	3.6	1.06796	0.000120
SN1993J	IIb	30_1000	3.6	1.	0.000120
