Name	Type	Energy	Distance(Mpc)	k-correction	z
SN2014C	IIb/IIn	30_1000	14.7	1.	0.002716
SN2010jl	IIn	20_1000	49	0.896354	0.0107
SN2007pk	IIn	20_1000	71	0.896354	0.01665
SN2006jd	IIb/IIn	20_1000	79	0.896354	0.018810
SN2005kd	IIn	50_800	64.2	1.26472	0.015165
SN2005kd	IIn	20_1000	64.2	0.896354	0.015165
SN2005ip	IIn	20_1000	30	0.896354	0.007164
SN2002hi	IIn	50_1000	180	1.17052	0.061957
SN1996cr	IIn	50_800	3.8	1.26472	0.001449
SN1996cr	IIn	30_1000	3.8	1.	0.001449
SN1995N	IIn	20_1000	24	0.896354	0.006170
SN1986J	IIn	30_1000	9.6	1.	0.001763
SN2013by	IIL/IIn	30_1000	14.8	1.	0.003833
