time(days)	ertime	instrument	flux(1d-15erg/s/cm2)	erflux 
5063.0273438	0.0312500	Swift-XRT-PROVV	1.1049999855458736e+03	-5.0000000e+00
5402.4199219	3.2832031	Swift-XRT-PROVV	2.3465000558644536e+02	5.5000000e+01
5984.1210938	 136.8789062	Swift-XRT-PROVV	1.7549999756738544e+02	2.2000000e+01
6167.3417969	43.6777344	Swift-XRT-PROVV	1.3904999941587448e+02	5.5000000e+01
6209.0410156	3.1855469	Swift-XRT-PROVV	2.2285000886768103e+02	8.0000000e+01
6246.7734375	32.1601562	Swift-XRT-PROVV	3.8499999791383743e+02	-5.0000000e+00
6300.4277344	9.7011719	Swift-XRT-PROVV	2.3709998931735754e+02	8.0000000e+01
6383.0996094	64.0253906	Swift-XRT-PROVV	1.2395000085234642e+02	3.7000000e+01
6470.5546875	16.2226562	Swift-XRT-PROVV	9.9349999800324440e+01	1.9000002e+01
6530.8320312	43.5351562	Swift-XRT-PROVV	1.2184999650344253e+02	4.2999996e+01
