time(days)	ertime	instrument	flux(1d-15erg/s/cm2)	erflux
8.845	0.395	ASCA	10735.3	1369.8
10.795	0.345	ASCA	10095.8	689.7
21.035	0.895	ASCA	5621.5	344.9
28.96	0.	ASCA	5032.7	689.7
35.46	0.33	ASCA	4373.3	933.6
52.565	0.495	ASCA	3226.7	903.3
362.38	0	ASCA	740.6	344.7
565.405	0.575	ASCA	314.6	121.6
2541.68	0	ChandraACIS-S	379.0	108.7
2588.88	0	ChandraACIS-S	338.4	25.7
2938.97	0	XMM-NewtonEPIC-PN	357.1	28.3
4427.50	85.6	ChandraACIS-S(HETG)	135.1	12.9
4442.77	9.955	ChandraACIS-S	162.8	8.4
4465.05	8.925	ChandraACIS-S	169.2	28.3
4783.92	92.42	ChandraACIS-S(HETG)	114.5	43.1
4900.17	73.52	Swift-XRT	133.8	22.5
5388.91	3.215	Swift-XRT	142.8	38.0
5407.65	0	ChandraACIS-S	119.0	6.4
