Ref= Margutti GRB catalogue
Spec Model= Absorbed power-law with NH_Galaxy=0.09d22 and NH_intrinsic=0.6d22 .  Time variable Photon Index
Comments= this LC is available in any energy band contained in the 0.3-10 keV range. This SN is linked to GRB060218. 
The obs extends up to      85.5625000       72.6898575   Swift-XRT     4.3419190768820278e+02   1.6518451645582132e+02: this last
bin has to be calculated manually with Ximage

time(days)       	ertime	  instrument		flux(1d-15 erg/s/cm2)		erflux 
     0.0018396        0.0000023   Swift-XRT     4.1857992627569726e+06   1.3190929459838683e+06
      0.0018454        0.0000035   Swift-XRT     2.4997961478590011e+06   8.2041051729930809e+05
      0.0018518        0.0000029   Swift-XRT     3.0037219378442611e+06   9.8558272654258867e+05
      0.0018581        0.0000035   Swift-XRT     2.6538427011502106e+06   8.5245910330655752e+05
      0.0018645        0.0000029   Swift-XRT     2.8344986358064259e+06   9.5081720274947654e+05
      0.0018703        0.0000029   Swift-XRT     3.7247334105927618e+06   1.1308251002262181e+06
      0.0018755        0.0000023   Swift-XRT     4.4389789621845922e+06   1.3713372659651667e+06
      0.0018801        0.0000023   Swift-XRT     4.2210599460190674e+06   1.3283215638537626e+06
      0.0018847        0.0000023   Swift-XRT     4.0027172687473465e+06   1.2845723373899886e+06
      0.0018900        0.0000029   Swift-XRT     3.7398777408270687e+06   1.1346191763905722e+06
      0.0018952        0.0000023   Swift-XRT     3.7884566594925672e+06   1.2412694205821138e+06
      0.0019004        0.0000029   Swift-XRT     3.0340108203574796e+06   9.9390762287043792e+05
      0.0019056        0.0000023   Swift-XRT     3.5732425907042394e+06   1.1970242574932398e+06
      0.0019096        0.0000017   Swift-XRT     5.3643169906081306e+06   1.7200962876273706e+06
      0.0019137        0.0000023   Swift-XRT     3.5791807295737495e+06   1.1987008052827262e+06
      0.0019189        0.0000029   Swift-XRT     3.2246996184426276e+06   1.0336950184708370e+06
      0.0019235        0.0000017   Swift-XRT     4.7818566883961465e+06   1.6009824577167819e+06
      0.0019287        0.0000035   Swift-XRT     2.3934738635489335e+06   8.0120976519992831e+05
      0.0019351        0.0000029   Swift-XRT     3.4151330652321121e+06   1.0726775023783830e+06
      0.0019403        0.0000023   Swift-XRT     3.8236129817903470e+06   1.2509320246323340e+06
      0.0019455        0.0000029   Swift-XRT     3.2422617923799632e+06   1.0384019200060378e+06
      0.0019501        0.0000017   Swift-XRT     5.4088591383560924e+06   1.7320340717219550e+06
      0.0019536        0.0000017   Swift-XRT     5.7133813236021064e+06   1.7934209672887390e+06
      0.0019582        0.0000029   Swift-XRT     3.0700688657958605e+06   1.0038180286997544e+06
      0.0019640        0.0000029   Swift-XRT     3.2544784644983336e+06   1.0416761897502623e+06
      0.0019692        0.0000023   Swift-XRT     4.2986374459985653e+06   1.3486255445727124e+06
      0.0019744        0.0000029   Swift-XRT     3.0801650119371968e+06   1.0065929201275025e+06
      0.0019802        0.0000029   Swift-XRT     3.4465670317729288e+06   1.0809044770354603e+06
      0.0019860        0.0000029   Swift-XRT     3.2689868589841351e+06   1.0455646348717095e+06
      0.0019918        0.0000029   Swift-XRT     2.9091600239894432e+06   9.7189478687198507e+05
      0.0019976        0.0000029   Swift-XRT     2.9125537537311171e+06   9.7285279831993417e+05
      0.0020034        0.0000029   Swift-XRT     3.0981939236340849e+06   1.0115480675310094e+06
      0.0020080        0.0000017   Swift-XRT     5.1684634350124262e+06   1.6872345742768855e+06
      0.0020121        0.0000023   Swift-XRT     4.1077088397400980e+06   1.3127114950606255e+06
      0.0020173        0.0000029   Swift-XRT     3.1068478900664328e+06   1.0139264983166640e+06
      0.0020231        0.0000029   Swift-XRT     3.8423246806473797e+06   1.1602849792069490e+06
      0.0020283        0.0000023   Swift-XRT     4.1210714840644863e+06   1.3162928524934612e+06
      0.0020335        0.0000029   Swift-XRT     3.4836429296802860e+06   1.0906082703598940e+06
      0.0020381        0.0000017   Swift-XRT     4.8938484376037642e+06   1.6325987228782421e+06
      0.0020433        0.0000035   Swift-XRT     2.9087452446674430e+06   9.1033447446875460e+05
      0.0020491        0.0000023   Swift-XRT     5.0578639054776886e+06   1.5006205167367170e+06
      0.0020549        0.0000035   Swift-XRT     2.4551258803739981e+06   8.1861473155697691e+05
      0.0020612        0.0000029   Swift-XRT     3.6873548658888917e+06   1.1319185588831713e+06
      0.0020670        0.0000029   Swift-XRT     3.1378575293672383e+06   1.0224494584321064e+06
