Ref= My catalogue (data reduction in grb110603A)
SpecModel= Absorbed powerlaw with intrinsic absorption. Best fitting parameters: NH_gal=; NH_int=
Gamma=

  time(days)			ertime     	instrument		flux(1d-15 erg/s/cm2)		erflux
      2.5104976        0.0061238   Swift-XRT     9.2829249061926464e+02   2.7769035985600317e+02
      2.5247800        0.0081551   Swift-XRT     6.3461378079637802e+02   2.2335049933673577e+02
      2.5818751        0.0104572   Swift-XRT     5.4797540203349593e+02   1.6431655840663805e+02
      2.5960996        0.0037616   Swift-XRT     8.8245529590233457e+02   3.2615338381447589e+02
      2.9155440        0.2768368   Swift-XRT     4.3626690801601416e+02   1.9351722644039143e+02
      3.2291551        0.0367731   Swift-XRT     4.9959428954915450e+02   2.5449098123991874e+02
      3.7956018        0.5296724   Swift-XRT     2.7749430899816349e+02   8.6748032260101908e+01
      4.4548726        0.1295926   Swift-XRT     5.1290596119260567e+02   1.5645953499801578e+02
      5.0957985        0.5113345   Swift-XRT     2.0149497576091994e+02   6.3577872892565942e+01
      6.4731483        0.8660243   Swift-XRT     1.0739006933062691e+02   3.9725316677667600e+01
      7.8401966        0.5010278   Swift-XRT     3.3636353251320634e+02   1.0800320598795820e+02
      8.4104509        0.0692280   Swift-XRT     2.6450730169526315e+02   8.2356159652324777e+01
      9.0515165        0.5718380   Swift-XRT     1.9839026797231762e+02   6.7005435759343726e+01
      9.9223261        0.2989850   Swift-XRT     2.3744504626388439e+02   7.9514709703729082e+01
     10.9881716        0.7668518   Swift-XRT     1.5587229044381615e+02   6.0151129953681099e+01
     12.0232649        0.2683021   Swift-XRT     2.5172789200333943e+02   8.3038908865393211e+01
     12.4899302        0.1982616   Swift-XRT     2.5496602442179326e+02   8.1527341301568242e+01
     12.9888887        0.3006979   Swift-XRT     2.0882384363374305e+02   6.5307676801185096e+01
     13.8253469        0.5357789   Swift-XRT     2.3821819083308381e+02   7.4263010563062338e+01
     15.2070599        0.8458507   Swift-XRT     1.3788215090081849e+02   4.4215431554799061e+01
     16.1472225        0.0942280   Swift-XRT     1.5889966751246598e+02   6.2609768443962899e+01
     20.1126             3.08185         Swift-XRT         100.507                            23.2998
     28.3687             4.31537         Swift-XRT         58.9910                             18.5340
