Days	Count-rate(0.01)
9.022556	41.303505
5.263158	30.855207
12.030075	31.16707
18.045113	36.978054
21.052631	34.464447
23.308271	45.216267
26.31579	50.0
29.323309	45.216267
37.593987	41.720974
32.330826	31.16707
41.353382	29.638643
45.864662	42.56861
47.36842	47.548008
51.8797	41.720974
54.88722	37.351803
57.894737	38.884964
67.669174	36.978054
67.669174	32.77432
69.92481	30.240808
72.93233	32.121704
75.93985	30.546463
83.45865	21.268152
87.21805	27.347528
83.45865	24.731062
91.729324	24.483597
97.74436	21.919586
93.233086	13.663386
120.30075	12.110106
105.26316	24.731062
102.25564	27.903145
115.789474	27.903145
119.548874	25.746185
125.56391	24.23861
129.3233	22.364923
127.06767	20.844654
134.58647	17.925932
138.34587	18.107115
146.61655	17.568985
143.60902	16.048664
139.09775	16.876272
148.87218	12.607184
150.37595	13.526668
154.88722	14.224221
163.90977	16.540228
169.9248	17.746561
166.16542	17.925932
172.93233	15.415895
189.47368	15.888077
189.47368	14.957746
193.23308	15.108929
196.99248	14.808075
204.51128	16.540228
210.52632	14.3679905
207.5188	13.663386
202.25565	13.663386
216.54135	12.481034
221.05263	11.062166
243.60902	8.099285
263.90976	7.251099
254.13535	9.138124
259.3985	9.804598
256.391	10.733407
246.61655	9.804598
357.14285	5.8706427
381.9549	8.516954
376.69174	7.473197
395.4887	7.3984184
384.21054	7.473197
391.7293	6.42678
387.21805	5.989916
374.4361	6.1116123
368.42105	5.5268855
371.42856	4.8010364
387.9699	4.998102
399.2481	3.147014
427.81955	5.203257
433.8346	6.3624725
437.594	4.8010364
443.609	4.5199103
454.8872	4.5655947
450.37595	3.9263082
441.3534	2.9037445
446.61655	2.6259296
534.5865	2.547889
566.1654	3.3765361
563.1579	2.1692019
558.6466	2.1692019
545.8647	2.0421836
537.594	1.8467983
561.6541	1.8100243
570.6767	1.1511859
