timeobs	terr1	terr2	flux	ferr1	ferr2
1502.913	22.014	-22.14	5.23365276e-10	2.478334341e-11	-2.478420798e-11
1542.691	14.926	-17.764	4.714088694e-10	2.744831523e-11	-2.744887551e-11
1573.619	17.597	-16.003	4.552939125e-10	2.653252791e-11	-2.653284186e-11
1613.394	25.153	-22.177	4.95233907e-10	2.342476101e-11	-2.342509911e-11
1662.583	22.349	-24.037	5.02454274e-10	2.380656285e-11	-2.380693959e-11
1701.498	16.038	-16.566	4.725760389e-10	2.735355063e-11	-2.735384043e-11
1738.527	22.238	-20.991	5.39074368e-10	2.557051266e-11	-2.557092804e-11
1784.002	24.235	-23.237	4.89258231e-10	2.322065004e-11	-2.322101712e-11
1824.598	17.016	-16.361	4.639191333e-10	2.708119176e-11	-2.708148156e-11
1858.638	17.092	-17.025	4.53089742e-10	2.638165803e-11	-2.638192851e-11
1892.119	16.614	-16.389	4.689168792e-10	2.718770775e-11	-2.71880217e-11
1929.266	18.581	-20.533	4.805725869e-10	2.534707203e-11	-2.534741496e-11
1969.457	21.613	-21.611	5.38577361e-10	2.5590306e-11	-2.559070689e-11
2013.276	21.706	-22.206	5.3154633e-10	2.517074805e-11	-2.517113928e-11
2054.967	20.264	-19.985	5.85147738e-10	2.780307873e-11	-2.78035086e-11
2095.444	20.893	-20.212	5.63840676e-10	2.669999367e-11	-2.670042354e-11
2137.752	21.050	-21.416	5.47290198e-10	2.600430462e-11	-2.600468136e-11
2178.893	18.900	-20.091	5.97134349e-10	2.830853823e-11	-2.830900674e-11
2217.744	20.810	-19.951	5.70356829e-10	2.710030407e-11	-2.710073394e-11
2258.638	19.676	-20.084	5.81985537e-10	2.75903607e-11	-2.759080989e-11
2294.853	15.382	-16.539	7.26122397e-10	3.456011832e-11	-3.456069792e-11
2325.385	15.285	-15.15	7.6839021e-10	3.650980095e-11	-3.651036123e-11
2354.338	14.218	-13.667	8.40032634e-10	3.998172087e-11	-3.998233428e-11
2381.632	13.223	-13.076	8.902656e-10	4.21574475e-11	-4.215811404e-11
2407.560	12.484	-12.705	9.18609972e-10	4.35242409e-11	-4.352495091e-11
2432.305	12.406	-12.261	9.57732972e-10	4.53522993e-11	-4.535302863e-11
2457.633	14.162	-12.921	8.63970597e-10	4.088920542e-11	-4.088989128e-11
2485.304	11.849	-13.509	9.23435142e-10	4.402613586e-11	-4.402686036e-11
2508.156	10.346	-11.003	1.081318182e-09	5.12913639e-11	-5.1292185e-11
2529.477	9.942	-10.975	1.114288245e-09	5.27360169e-11	-5.27369829e-11
2548.817	9.377	-9.398	1.237884081e-09	5.88842688e-11	-5.88853797e-11
2567.536	8.059	-9.342	1.337909034e-09	6.33550617e-11	-6.3356076e-11
2585.006	9.759	-9.411	1.225233828e-09	5.80850487e-11	-5.8086063e-11
2603.154	7.703	-8.389	1.457065617e-09	6.88421349e-11	-6.88432941e-11
2618.726	7.457	-7.868	1.509829503e-09	7.13350428e-11	-7.13362503e-11
2632.941	6.630	-6.758	1.722892878e-09	8.14934988e-11	-8.14948995e-11
2645.244	5.017	-5.673	2.158138668e-09	1.020808425e-10	-1.020825813e-10
2654.966	4.663	-4.705	2.495764845e-09	1.181181813e-10	-1.181202099e-10
2664.449	4.933	-4.82	2.417378292e-09	1.147309989e-10	-1.147329309e-10
2674.138	4.789	-4.756	2.471835576e-09	1.172493126e-10	-1.172513895e-10
2683.630	5.048	-4.703	2.411797227e-09	1.14207765e-10	-1.14209697e-10
2723.499	3347.664	-34.821	1.634753589e-09	5.50384296e-11	-5.5048476e-11
40871.605	101.927	-4969.162	3.509683758e-10	4.225160835e-11	-4.404569736e-11
41004.884	29.327	-31.352	4.198565889e-10	6.215727e-11	-5.97999402e-11
41073.185	39.374	-38.974	4.034622165e-10	4.456922589e-11	-4.826987529e-11
48183.380	11.514	-10.937	1.046764845e-09	4.95321813e-11	-4.95446427e-11
48206.031	10.285	-11.137	1.11224757e-09	5.26734201e-11	-5.27002749e-11
48227.725	11.479	-11.409	1.037579634e-09	4.91953371e-11	-4.9225911e-11
48249.876	10.381	-10.671	1.11808221e-09	5.30602065e-11	-5.30851293e-11
48269.531	9.037	-9.274	1.2972897e-09	6.13620105e-11	-6.13838904e-11
48286.077	7.165	-7.51	1.602301785e-09	7.57035363e-11	-7.57250298e-11
48301.027	7.764	-7.785	1.508883306e-09	7.1481102e-11	-7.15034166e-11
48316.796	7.298	-8.005	1.534692894e-09	7.26260052e-11	-7.26479817e-11
48331.827	8.064	-7.733	1.581329442e-09	7.5153351e-11	-7.51777425e-11
48346.595	7.518	-6.704	1.650939885e-09	7.81739847e-11	-7.82032062e-11
48362.171	8.798	-8.059	1.389946005e-09	6.59504622e-11	-6.59698305e-11
48380.974	11.416	-10.004	1.094522436e-09	5.19081549e-11	-5.19260742e-11
48408.904	17.939	-16.514	6.99086472e-10	3.324252813e-11	-3.325376271e-11
48445.789	19.229	-18.946	6.14976369e-10	2.91188625e-11	-2.912870121e-11
48485.045	17.027	-20.027	6.3818307e-10	3.023280057e-11	-3.024206934e-11
48513.212	10.433	-11.141	1.088670891e-09	5.15203059e-11	-5.15372592e-11
48536.654	12.451	-13.009	1.19974785e-09	4.98368094e-11	-4.98569022e-11
106142.330	11.396	-13.652	1.249798725e-09	1.01082723e-10	-8.77795506e-11
106165.613	10.892	-11.886	1.089133122e-09	5.65661103e-11	-5.60685237e-11
106186.408	10.133	-9.903	1.222592301e-09	6.1662678e-11	-6.10437135e-11
106207.762	10.129	-11.22	1.179366699e-09	6.20974746e-11	-6.16329252e-11
106229.632	11.877	-11.741	1.079443659e-09	6.09846426e-11	-6.07736199e-11
106253.025	11.429	-11.516	1.133305404e-09	6.66276282e-11	-6.63366207e-11
106276.519	11.649	-12.065	1.096224528e-09	6.61483473e-11	-6.58347354e-11
106299.066	10.700	-10.898	1.202035338e-09	7.33769253e-11	-7.29409212e-11
106320.909	9.677	-11.143	1.26414624e-09	7.59605889e-11	-7.56138915e-11
106340.154	8.986	-9.568	1.404344718e-09	8.34681477e-11	-8.31225129e-11
106358.746	10.237	-9.606	1.302943698e-09	7.5436389e-11	-7.51899624e-11
106378.421	8.853	-9.438	1.415732409e-09	8.54370006e-11	-8.50232628e-11
106397.818	10.905	-10.544	1.244837349e-09	7.57554588e-11	-7.53209037e-11
106418.827	9.934	-10.105	1.291455543e-09	7.63379085e-11	-7.60011609e-11
106458.229	30.151	-29.468	1.386450534e-09	7.04367111e-11	-7.05526794e-11
106497.012	8.406	-8.631	1.388722083e-09	6.58264761e-11	-6.58827456e-11
106513.747	8.451	-8.33	1.406354481e-09	6.65962815e-11	-6.66572361e-11
106530.750	7.953	-8.552	1.429092672e-09	6.76222218e-11	-6.76710531e-11
106546.926	8.120	-8.223	1.443794226e-09	6.82752378e-11	-6.83187078e-11
106563.513	9.164	-8.467	1.333798704e-09	6.33461745e-11	-6.33901275e-11
106580.791	7.605	-8.114	1.500823968e-09	7.10178084e-11	-7.10703588e-11
106596.887	8.351	-8.492	1.398235734e-09	6.62609829e-11	-6.6302859e-11
106613.824	8.034	-8.585	1.418262363e-09	6.71758815e-11	-6.72197862e-11
106629.611	7.685	-7.754	1.519982163e-09	7.2336978e-11	-7.23821385e-11
