Name	Year	Luminosity (erg/s)	Flux (erg/cm^2/s)	dLcm
2MASX J0249	1990.67	2.7300000000000003e+41	3.570000000000001e-13	2.47e+26
2MASX J0249	2007.03	9.95e+40	1.3e-13	2.47e+26
2MASX J0249	2007.16	9.26e+40	1.21e-13	2.47e+26
2MASX J0249	2007.58	5.760000000000001e+40	7.52e-14	2.47e+26
2MASX J0249	2010.54	8.81e+40	1.15e-13	2.47e+26
2MASX J0249	2011.24	8.19e+40	1.0699999999999999e-13	2.47e+26
2MASX J0249	2015.27	6.31e+40	8.24e-14	2.47e+26
2MASX J0249	2015.55	5.110000000000001e+40	6.68e-14	2.47e+26
2MASX J0249	2015.81	6.740000000000001e+40	8.8e-14	2.47e+26
2MASX J0249	2006.63	3.3500000000000002e+41	4.3700000000000006e-13	2.47e+26
3XMM J152130.7+074916	2000.24	6.4900000000000006e+41	6.829999999999999e-15	2.75e+27
3XMM J152130.7+074916	1992.58	6.29e+42	6.62e-14	2.75e+27
3XMM J152130.7+074916	1990.67	1.17e+43	1.23e-13	2.75e+27
3XMM J152130.7+074916	2008.16	1.61e+45	1.7e-11	2.75e+27
3XMM J152130.7+074916	2010.15	7.21e+44	7.59e-12	2.75e+27
3XMM J152130.7+074916	2005.79	1.8e+43	1.8899999999999998e-13	2.75e+27
3XMM J152130.7+074916	2000.74	3.1500000000000004e+43	3.32e-13	2.75e+27
3XMM J152130.7+074916	2014.14	5.4700000000000005e+41	5.7600000000000005e-15	2.75e+27
ASASSN-14ae	1990.94	1.99e+41	4.5e-14	5.93e+26
ASASSN-14ae	2009.02	1.54e+43	3.4900000000000003e-12	5.93e+26
ASASSN-14ae	2012.99	1.06e+43	2.39e-12	5.93e+26
ASASSN-14ae	2014.46	9.67e+42	2.1899999999999998e-12	5.93e+26
ASASSN-14ae	2014.95	8.3e+42	1.88e-12	5.93e+26
ASASSN-14ae	2014.17	1.65e+41	3.74e-14	5.93e+26
ASASSN-14ae	2014.35	1.9400000000000003e+41	4.39e-14	5.93e+26
ASASSN-14ae	2014.53	1.65e+41	3.73e-14	5.93e+26
ASASSN-14ae	2015.29	3.11e+41	7.05e-14	5.93e+26
ASASSN-14ae	2015.45	2.3800000000000003e+41	5.39e-14	5.93e+26
ASASSN-14li	1990.67	6.7e+40	7.11e-14	2.74e+26
ASASSN-14li	2009.06	2.39e+42	2.5299999999999995e-12	2.74e+26
ASASSN-14li	2015.02	1.1e+43	1.17e-11	2.74e+26
ASASSN-14li	2015.15	9.62e+42	1.02e-11	2.74e+26
ASASSN-14li	2015.43	4.96e+42	5.26e-12	2.74e+26
ASASSN-14li	2015.66	3.16e+42	3.35e-12	2.74e+26
ASASSN-14li	2016.04	2.47e+42	2.62e-12	2.74e+26
ASASSN-14li	2015.04	5.12e+43	5.43e-11	2.74e+26
ASASSN-14li	2016.19	1.8400000000000002e+42	1.95e-12	2.74e+26
ASASSN-14li	2016.51	7.970000000000001e+41	8.449999999999999e-13	2.74e+26
ASASSN-15oi	1990.94	1.6200000000000002e+42	2.95e-13	6.61e+26
ASASSN-15oi	2015.79	3.1500000000000003e+41	5.74e-14	6.61e+26
ASASSN-15oi	2015.93	3.69e+41	6.72e-14	6.61e+26
IGR J17361-4441	2005.4	1.2800000000000001e+41	3.48e-14	5.42e+26
IGR J17361-4441	2011.76	4.83e+41	1.31e-13	5.42e+26
IGR J17361-4441	1992.33	1.35e+42	3.66e-13	5.42e+26
IGR J17361-4441	2011.76	2.03e+44	5.5e-11	5.42e+26
IGR J17361-4441	2011.73	1.43e+43	3.87e-12	5.42e+26
IGR J17361-4441	2011.83	1.63e+43	4.4299999999999995e-12	5.42e+26
IGR J17361-4441	2012.23	8.6e+41	2.33e-13	5.42e+26
IGR J17361-4441	2010.45	2.1300000000000002e+41	5.76e-14	5.42e+26
IGR J17361-4441	2012.53	5.9800000000000005e+41	1.6200000000000002e-13	5.42e+26
IGR J17361-4441	2012.68	1.18e+42	3.21e-13	5.42e+26
IGR J17361-4441	2003.31	7.64e+41	2.0699999999999998e-13	5.42e+26
IGR J17361-4441	2011.82	1.8300000000000002e+43	4.96e-12	5.42e+26
NGC247	2011.17	2.3400000000000003e+38	3.8900000000000006e-13	6.92e+24
NGC247	2014.96	1.7000000000000002e+38	2.8300000000000006e-13	6.92e+24
NGC247	1992.29	4.53e+37	7.53e-14	6.92e+24
NGC247	1991.31	1.73e+37	2.87e-14	6.92e+24
NGC247	2006.04	1.92e+39	3.19e-12	6.92e+24
NGC247	2010.09	1.29e+39	2.15e-12	6.92e+24
NGC247	2014.95	1.2e+38	1.9899999999999999e-13	6.92e+24
NGC247	2015.12	3.61e+37	5.99e-14	6.92e+24
NGC247	2015.48	3.85e+37	6.4e-14	6.92e+24
NGC247	2015.73	3.8200000000000004e+37	6.34e-14	6.92e+24
NGC247	2015.9	5.95e+37	9.89e-14	6.92e+24
NGC247	2014.19	4.94e+37	8.21e-14	6.92e+24
NGC247	2015.47	4.0200000000000003e+37	6.68e-14	6.92e+24
NGC247	2001.61	6.620000000000001e+37	1.1e-13	6.92e+24
NGC247	2010.09	1.8400000000000002e+37	3.05e-14	6.92e+24
NGC247	2014.59	2.0600000000000002e+38	3.43e-13	6.92e+24
OGLE16aaa	1990.94	9.76e+42	1.23e-13	2.51e+27
OGLE16aaa	2016.53	1.99e+44	2.5099999999999996e-12	2.51e+27
OGLE16aaa	2016.57	2.25e+43	2.84e-13	2.51e+27
OGLE16aaa	2016.98	6.13e+42	7.73e-14	2.51e+27
OGLE16aaa	2016.22	3.3700000000000003e+42	4.25e-14	2.51e+27
OGLE16aaa	2016.53	4.9800000000000005e+42	6.28e-14	2.51e+27
OGLE16aaa	2016.53	4.36e+41	5.5e-15	2.51e+27
PS1-10jh	2011.49	3.2e+41	3.8200000000000005e-15	2.58e+27
PS1-10jh	1990.62	4.7600000000000005e+42	5.67e-14	2.58e+27
PS1-10jh	2003.04	2.54e+44	3.03e-12	2.58e+27
PS1-10jh	2003.87	4.14e+44	4.929999999999999e-12	2.58e+27
PS1-10jh	2005.61	2.04e+44	2.4300000000000003e-12	2.58e+27
PS1-10jh	2011.63	7.69e+44	9.16e-12	2.58e+27
PS1-10jh	2011.72	3.4200000000000003e+44	4.0799999999999996e-12	2.58e+27
PS1-10jh	2012.08	7.690000000000001e+43	9.16e-13	2.58e+27
PS1-10jh	2014.58	2e+44	2.38e-12	2.58e+27
PTF-10iya	1990.67	5.28e+42	3.3e-14	3.57e+27
PTF-10iya	2010.54	2.8300000000000003e+43	1.77e-13	3.57e+27
PTF-10iya	2010.7	4.29e+42	2.68e-14	3.57e+27
PTF-10iya	2011.77	3.57e+42	2.23e-14	3.57e+27
PTF-10iya	2011.73	5.9e+42	3.69e-14	3.57e+27
RBS 1032	1994.5	2.75e+41	1.8100000000000004e-13	3.48e+26
RBS 1032	1993.12	1.8700000000000002e+41	1.23e-13	3.48e+26
RBS 1032	1990.94	4.98e+41	3.2799999999999997e-13	3.48e+26
RBS 1032	2002.44	4.5200000000000003e+42	2.98e-12	3.48e+26
RBS 1032	2008.51	1.5600000000000001e+43	1.0300000000000001e-11	3.48e+26
RBS 1032	2013.45	4.9800000000000005e+42	3.28e-12	3.48e+26
RBS 1032	2009.99	1.56e+41	1.0300000000000002e-13	3.48e+26
SDSS J1201	1990.98	3.7700000000000004e+42	6.31e-14	2.18e+27
SDSS J1201	2004.0	2.0500000000000002e+44	3.4400000000000003e-12	2.18e+27
SDSS J1201	2007.54	5.44e+44	9.12e-12	2.18e+27
SDSS J1201	2010.53	1.0300000000000001e+45	1.72e-11	2.18e+27
SDSS J1201	2011.0	2.1500000000000003e+44	3.6000000000000004e-12	2.18e+27
SDSS J1201	2010.61	1.24e+43	2.0699999999999998e-13	2.18e+27
SDSS J1201	2010.78	3.64e+42	6.1e-14	2.18e+27
SDSS J1201	2011.34	4.25e+42	7.12e-14	2.18e+27
SDSS J1201	2010.57	2.06e+43	3.45e-13	2.18e+27
SDSS J1201	2010.99	3.38e+42	5.67e-14	2.18e+27
SDSS J1201	2011.08	2.8400000000000004e+42	4.76e-14	2.18e+27
SDSS J1311	2004.25	4.93e+42	5.12e-14	2.77e+27
SDSS J1311	2007.27	1.4200000000000002e+42	1.48e-14	2.77e+27
SDSS J1311	2000.75	1.08e+42	1.12e-14	2.77e+27
SDSS J1311	2006.27	5.4700000000000005e+41	5.69e-15	2.77e+27
SDSS J1311	1992.64	3.88e+42	4.03e-14	2.77e+27
SDSS J1311	1990.63	1.35e+43	1.4e-13	2.77e+27
SDSS J1311	2012.14	9.72e+44	1.0100000000000001e-11	2.77e+27
SDSS J1311	2014.12	8.730000000000001e+44	9.07e-12	2.77e+27
SDSS J1311	2002.08	1.41e+42	1.47e-14	2.77e+27
SDSS J1311	2013.11	2.8900000000000003e+41	3e-15	2.77e+27
SDSS J1323	1990.67	8.040000000000001e+42	4.16e-13	1.24e+27
SDSS J1323	2004.02	1.99e+44	1.0300000000000001e-11	1.24e+27
SDSS J1323	2005.51	2.47e+43	1.28e-12	1.24e+27
SDSS J1323	2013.61	8.910000000000001e+43	4.610000000000001e-12	1.24e+27
SDSS J1323	2013.93	6.05e+41	3.13e-14	1.24e+27
SDSS J1323	2007.12	1.0100000000000001e+43	5.21e-13	1.24e+27
SDSS J1323	2007.47	1.8100000000000002e+42	9.37e-14	1.24e+27
SDSS J1323	2011.18	1.47e+42	7.6e-14	1.24e+27
SDSS J1323	2006.63	7.250000000000001e+40	3.75e-15	1.24e+27
Swift J1644+57	2013.0	1.49e+42	3.05e-15	6.24e+27
Swift J1644+57	2015.22	1.4e+42	2.8600000000000003e-15	6.24e+27
Swift J1644+57	1991.4	3.69e+43	7.53e-14	6.24e+27
Swift J1644+57	1990.65	8.130000000000001e+43	1.66e-13	6.24e+27
Swift J1644+57	1992.35	3.5300000000000003e+43	7.2e-14	6.24e+27
Swift J1644+57	1990.39	4.2800000000000004e+43	8.75e-14	6.24e+27
Swift J1644+57	2011.47	1.47e+46	3.01e-11	6.24e+27
Swift J1644+57	2011.63	2.3800000000000002e+45	4.860000000000001e-12	6.24e+27
Swift J1644+57	2013.1	1.5100000000000002e+45	3.0899999999999996e-12	6.24e+27
Swift J1644+57	2015.67	4.5e+44	9.19e-13	6.24e+27
Swift J1644+57	2011.41	2.71e+45	5.53e-12	6.24e+27
Swift J1644+57	2011.61	4.3600000000000005e+44	8.909999999999998e-13	6.24e+27
Swift J1644+57	2011.89	1.49e+44	3.04e-13	6.24e+27
Swift J1644+57	2012.15	1.11e+44	2.27e-13	6.24e+27
Swift J1644+57	2012.42	4.630000000000001e+43	9.46e-14	6.24e+27
Swift J1644+57	2012.72	1.11e+43	2.26e-14	6.24e+27
Swift J1644+57	2012.96	1.08e+43	2.21e-14	6.24e+27
