time    flux
2005-11-23T07:52:05 0.
2011-07-21T09:26:28 7.800E-13
2011-07-26T14:40:42 5.894E-13
2011-07-27T00:03:18 7.400E-13
2011-07-31T02:25:56 7.114E-13
2011-08-02T00:58:52 6.465E-13
2011-08-06T15:39:11 6.419E-13
2011-09-07T03:33:50 0
2011-09-13T00:48:18 0
2012-08-23T22:06:46 0
2012-08-24T17:00:02 0
2012-08-27T20:28:20 0
2012-08-28T02:54:05 7.539E-14
2012-08-29T01:16:16 0
2014-09-07T07:31:45 0
2017-01-18T07:52:05 3.45e-14
2017-11-19T05:59:52 0
2017-11-19T15:56:16 0
2017-11-21T07:45:23 6.168E-13
2017-11-25T20:05:50 4.814E-13
2017-12-01T03:37:31 7.1E-13
