MJD	Flux(cgs)
57069.19720	13.3e-11
57076.77906	28.3e-11
57079.45028	14.6e-11
57083.24917	69.8e-11
57086.50529	9.5e-11
57090.35591	2.8e-11
57093.95062	17.2e-11
57097.34327	21.3e-11
57100.28330	27.2e-11
57104.94361	19.0e-11
57107.87126	63.9e-11
57114.66061	41.9e-11
57118.05140	17.4e-11
57121.11656	1.5e-11
57125.11082	35.9e-11
57128.81887	40.6e-11
57132.02167	6.8e-11
57135.02061	1.1e-11
57139.20940	0.6e-11
57142.33898	63.2e-11
57146.33073	36.1e-11
57149.25551	49.1e-11
57156.70637	0.5e-11
57160.75299	14.5e-11
57163.65917	13.4e-11
57167.87186	22.8e-11
57170.07622	26.4e-11
57174.06796	12.5e-11
57181.70856	91.4e-11
57184.38300	42.1e-11
57188.64007	2.9e-11
57191.42814	32.6e-11
57195.15266	42.2e-11
57198.68399	20.0e-11
57202.91001	25.5e-11
57205.11780	20.2e-11
57209.84092	33.0e-11
57212.30136	42.1e-11
57216.97833	50.1e-11
57219.17442	16.9e-11
57223.31399	12.0e-11
57226.51238	38.2e-11
57230.33604	17.7e-11
57233.28949	21.8e-11
57237.31020	11.8e-11
57240.04352	10.6e-11
57244.70114	5.3e-11
57247.73589	17.9e-11
57251.75651	32.7e-11
57254.88463	24.8e-11
57258.20110	56.0e-11
57261.38728	20.8e-11
57265.72559	36.5e-11
57268.24792	25.7e-11
57273.62788	4.1e-11
57279.21154	3.8e-11
57286.87282	41.8e-11
57289.39770	30.2e-11
57293.24991	33.7e-11














