MJD	Flux(cgs)
57408.33228	1.9e-11
57409.06321	0.6e-11
57411.19096	2.4e-11
57412.31988	4.6e-11
57413.31668	2.8e-11
57415.38120	2.3e-11
57416.10815	4.8e-11
57417.24288	3.0e-11
57418.04097	1.9e-11
57419.23200	2.6e-11
57420.83151	3.4e-11
57421.03322	2.9e-11
57422.49361	2.1e-11
57423.22185	7.6e-11
57424.94619	3.9e-11
57425.67767	2.5e-11
57426.87456	0.1e-11
57427.80319	2.2e-11
57428.14085	2.7e-11
57429.14492	2.9e-11
57430.10943	2.3e-11
57432.07308	3.3e-11	
57434.36777	2.4e-11
57435.79345	3.3e-11
57436.78924	2.8e-11
57437.78604	4.5e-11
57438.78265	1.2e-11
57439.77768	1.3e-11
57440.77698	4.3e-11
57441.70582	2.7e-11
57442.09999	2.3e-11
57444.41879	2.4e-11
57446.35042	2.6e-11
57446.75943	2.9e-11
57448.60692	2.7e-11
57449.35112	5.9e-11
57451.40197	2.8e-11
57452.60000	1.2e-11
57453.73040	3.2e-11
57454.26308	4.5e-11
57455.49565	2.9e-11
57456.12555	2.6e-11
57457.12260	3.9e-11
57458.39444	1.4e-11
57459.25599	3.0e-11
57460.31769	2.6e-11
57461.44428	1.9e-11
57462.83928	4.3e-11
57463.90409	2.1e-11
57464.63881	0.6e-11
57465.33851	1.8e-11
57466.33907	2.5e-11
57467.16779	0.5e-11
57469.62087	1.8e-11
57474.24053	2.8e-11
57475.72972	3.1e-11
57476.60286	3.1e-11
57477.00666	3.7e-11
57478.58739	2.7e-11
57479.78202	2.1e-11
57480.06030	2.6e-11
57481.70841	2.2e-11
57483.76959	2.9e-11
57484.97279	1.9e-11
57485.04257	15.6e-11
57487.17528	1.4e-11
57488.96274	2.0e-11
57490.69493	1.7e-11
57491.48572	3.6e-11
57492.94566	4.0e-11
57493.01501	2.8e-11
57494.08169	3.1e-11
57495.39796	1.2e-11
57496.72762	3.8e-11
57497.92956	2.7e-11
57498.39649	1.9e-11
57500.52289	3.6e-11
57501.25418	3.7e-11
57502.05761	4.5e-11
57503.38791	2.8e-11
57504.71843	1.4e-11
57505.31402	2.2e-11
57506.60238	2.1e-11
57507.57783	2.4e-11
57509.56819	2.4e-11
57510.70142	3.8e-11
57511.69894	0.3e-11
57512.69870	4.4e-11
57513.21925	1.0e-11
57514.28210	3.2e-11
57517.74974	11.9e-11
57518.66796	5.1e-11
57519.60390	1.9e-11
57520.66917	3.8e-11
57521.07151	1.5e-11
57523.31809	3.0e-11
57525.64240	2.8e-11
57526.30889	1.7e-11
57528.08381	2.8e-11
57529.27390	1.6e-11
57530.52718	1.2e-11
57531.42992	2.0e-11
57533.83165	7.7e-11
57534.34778	3.5e-11
57535.54997	3.1e-11
57536.35117	1.7e-11
57537.60277	1.5e-11
57538.34686	2.8e-11
57539.34113	2.3e-11
57540.72807	2.7e-11
57541.46951	0.6e-11
57542.59067	3.6e-11
57543.38816	3.9e-11
57544.46000	1.4e-11
57545.91938	3.8e-11
57546.71955	2.0e-11
57547.74795	6.1e-11
57548.90854	3.8e-11
57550.76243	2.0e-11
57551.69627	7.0e-11
57552.69249	6.1e-11
57553.62090	1.0e-11
57554.55088	4.3e-11
57555.41071	2.8e-11
57557.21669	2.2e-11










	






















