MJD	Flux(cgs)
57071.13152	3.1e-11
57074.05215	0.7e-11
57078.11378	0.3e-11
57081.17754	11.4e-11
57085.50884	4.9e-11
57088.50679	0.6e-11
57092.50049	4.3e-11
57095.29009	4.4e-11
57099.67249	4.7e-11
57106.13932	7.9e-11
57109.73308	10.0e-11
57116.84270	4.7e-11
57120.50776	23.0e-11
57123.03947	3.2e-11
57127.82063	9.9e-11
57130.02916	7.8e-11
57134.08242	19.7e-11
57137.54770	5.3e-11
57141.53064	6.0e-11
57148.05961	7.7e-11
57151.78003	7.9e-11
57155.04283	0.4e-11
57165.87459	2.9e-11
57176.66578	1.5e-11
57179.78132	4.1e-11
57183.21927	0.7e-11
57186.50262	0.9e-11
57193.93137	0.03e-11
57197.54561	17.6e-11
57200.63216	5.6e-11
57204.52040	3.0e-11
57207.51383	5.8e-11
57211.71016	1.3e-11
57214.07191	2.7e-11
57221.76517	0.5e-11
57225.28945	2.8e-11
57228.40191	28.4e-11
57232.40124	6.0e-11
57242.03565	27.1e-11
57246.23508	1.8e-11
57249.03230	0.9e-11
57253.55333	1.5e-11
57256.47959	4.1e-11
57260.33788	0.8e-11
57263.36187	2.0e-11
57267.31970	1.5e-11
57274.10016	4.9e-11
57277.89862	3.3e-11
57281.68750	0.9e-11
57284.27302	5.9e-11
57288.07229	7.8e-11
57291.92352	1.6e-11
57295.78035	3.9e-11






















