 ! Swift/XRT detailed lightcurve of trigger: 33108, name: SXP 2.16
 ! T0 for this burst is Swift MET=411828902.0006 s, = 2014 Jan 19 at 12:54:50.462 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!READ TERR 1 2
!READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
56399997.314	14555.287	-14555.287	6.107967e-01	4.014952e-02	-4.092972e-02	3.033398e-01	1.311452e-02	0.047318
64579801.636	8635.242	-8635.242	5.691901e-01	2.135983e-02	-2.136916e-02	1.158002e-01	6.216482e-03	0.114720
!NO	NO	NO	NO	NO
! PC data
415782.272	492.684	-492.684	9.907892e-02	1.172379e-02	-1.172379e-02	8.002744e-04	1.041869e-04	1.000000
56380194.245	497.702	-497.702	4.367864e-01	3.221457e-02	-3.221457e-02	1.580203e-03	1.755782e-04	0.999994
57067212.293	463.852	-463.852	5.016236e-01	4.184424e-02	-4.184424e-02	1.226949e-03	1.654417e-04	0.999998
57825345.808	490.181	-490.181	6.560092e-01	5.547441e-02	-5.547441e-02	1.604369e-03	1.805056e-04	0.999992
58088848.095	507.728	-507.728	4.917223e-01	3.240080e-02	-3.240080e-02	1.800375e-03	1.976168e-04	1.000000
58289147.100	488.924	-488.924	4.231251e-01	3.867109e-02	-3.867109e-02	1.159312e-03	1.592437e-04	1.000000
58565383.802	491.435	-491.435	2.927257e-01	2.343159e-02	-2.343159e-02	1.481981e-03	1.797166e-04	0.999991
59084607.089	19829.338	-19829.338	1.268336e-01	1.482328e-02	-1.482328e-02	1.182327e-03	1.608943e-04	0.019030
77682264.620	32.595	-32.595	3.662579e-01	1.163146e-01	-9.654375e-02	7.322535e-03	1.830634e-03	1.000000
78479718.105	26.327	-26.327	4.239690e-01	1.131410e-01	-1.131410e-01	2.900312e-02	4.230539e-03	1.000000
