#3-9keV
MJD	Flux(cgs)
50483.04	9.66e-10	
50489.79	8.48e-10
50496.81	8.11e-10
51221.96	4.39e-10
51240.71	4.35e-10
51270.56	4.42e-10
51290.58	2.05e-10
51312.65	0.72e-10
51354.69	3.93e-12
51366.56	1.53e-12
51407.35	2.0e-12
51422.38	1.96e-12
51436		5.7e-13
52368.69	18.62e-10
52369.66	22.86e-10
52371.70	30.63e-10
52382.86	53.86e-10
52784.01	0.186e-10
53039.87	0.145e-10
53048.89	0.749e-10
53059.09	2.36e-10
53080.79	9.07e-10
53081.79	9.55e-10
53082.79	9.92e-10
53083.79	10.06e-10
53481.73	3.75e-10
53484.67	2.77e-10
53488.58	1.85e-10
53489.65	1.65e-10
53490.63	1.57e-10
53493.88	1.17e-10
53494.88	1.25e-10
53496.88	0.96e-10
53502.88	0.73e-10
54044.17	0.22e-10
54135.10	54.84e-10
54135.77	56.80e-10
54251.74	2.10e-10
54257.74	1.53e-10
54262.73	1.28e-10
54276.71	1.26e-10
54280.46	1.33e-10
54285.52	1.81e-10
54294.50	2.50e-10
54334.50	3.67e-10
54407.25	0.25e-10 
54431.99	0.25e-10
54469.05	0.275e-10
54643.77	0.714e-10
54652.70	0.875e-10
54663.70	1.17e-10
54696.60	0.858e-10
54738.02	0.454e-10
54749.37	0.166e-10
55002.59	2.01e-10
55134.33	2.2e-13
55217.92	6.02e-10
55240.01	8.28e-10
55258.89	14.06e-10
55261.89	16.41e-10
55262.91	16.49e-10
55269.80	20.01e-10
55271.60	21.91e-10
55276.82	28.16e-10
55279.79	33.09e-10
55283.73	38.02e-10
55286.73	40.57e-10
55288.91	43.09e-10
55289.91	44.36e-10
55290.82	44.21e-10
55291.81	45.25e-10
55292.81	48.94e-10
55605.81	3.23e-10
55607.98	2.59e-10
55610.08	2.03e-10
55612.97	1.41e-10
55616.69	0.966e-10
55619.73	0.760e-10
55623.66	0.610e-10
55627.10	0.500e-10
55629.66	0.460e-10
55640.04	0.240e-10
55641.95	0.16e-10
55666.89	3.1e-12
55678.84	1.4e-12
55693.89	1.78e-13
55813.33	2.2e-13
56102.75	5.4e-12	










	






















